n,trial,tv
1,0,0.4511548578739166
1,1,0.21718356013298035
1,2,0.7553058862686157
1,3,1.1053649187088013
1,4,0.6738051772117615
2,0,0.6125462055206299
2,1,0.9775336384773254
2,2,0.5669041872024536
2,3,0.3271883726119995
2,4,0.48485037684440613
6,0,0.08260888606309891
6,1,0.21843306720256805
6,2,0.18262122571468353
6,3,0.08948410302400589
6,4,0.09883913397789001
11,0,0.0014892896870151162
11,1,0.005018238443881273
11,2,0.00851752795279026
11,3,0.08000887930393219
11,4,0.12879540026187897
51,0,2.6334039375797147e-06
51,1,0.0005178547580726445
51,2,0.007921190932393074
51,3,0.0005762557848356664
51,4,0.04046662896871567
101,0,0.00026155493105761707
101,1,0.0002747469407040626
101,2,0.00025867094518616796
101,3,0.00010386513895355165
101,4,0.03587038815021515
201,0,0.0010724849998950958
201,1,0.0005514911026693881
201,2,0.004901448730379343
201,3,8.234631968662143e-05
201,4,0.0014063179260119796
501,0,8.060914115048945e-05
501,1,6.595253944396973e-05
501,2,0.00010745246254373342
501,3,2.6352993245382095e-06
501,4,3.4800483263097703e-05
1001,0,2.899375613196753e-05
1001,1,0.0002509065961930901
1001,2,0.00023903099645394832
1001,3,1.5314624761231244e-05
1001,4,2.2883681594976224e-05
2001,0,3.827559339697473e-05
2001,1,2.734798727033194e-05
2001,2,0.00022868564701639116
2001,3,0.00025403217296116054
2001,4,0.00010015890438808128
