n,trial,tv
1,0,0.7613937854766846
1,1,0.5957819223403931
1,2,0.734595537185669
1,3,0.6959974765777588
1,4,0.8223997354507446
2,0,0.5252768397331238
2,1,0.6434804797172546
2,2,0.5502038598060608
2,3,0.5850114822387695
2,4,0.22536695003509521
6,0,0.14262889325618744
6,1,0.24394890666007996
6,2,0.008984167128801346
6,3,0.025808298960328102
6,4,0.03945532441139221
11,0,0.0045271264389157295
11,1,0.008297554217278957
11,2,0.032141007483005524
11,3,0.0016003284836187959
11,4,0.0005862152902409434
51,0,0.011682107113301754
51,1,0.006308083888143301
51,2,9.150832920568064e-05
51,3,2.2901016563992016e-05
51,4,0.00913942325860262
101,0,0.002386269625276327
101,1,0.0016778574790805578
101,2,0.0008133379742503166
101,3,0.0015151777770370245
101,4,0.010171639733016491
201,0,7.675344022572972e-06
201,1,1.859110170698841e-06
201,2,0.0002744772646110505
201,3,0.0007731873774901032
201,4,0.0010010631522163749
501,0,0.0014371410943567753
501,1,0.0003729782474692911
501,2,0.0001377818116452545
501,3,0.0014560443814843893
501,4,0.0006662875530309975
1001,0,0.0003969486861024052
1001,1,0.0002658848534338176
1001,2,0.0002747245307546109
1001,3,0.0008147505577653646
1001,4,0.0012838756665587425
2001,0,0.00011469306627986953
2001,1,0.00018138109589926898
2001,2,0.00040380790596827865
2001,3,3.4374531310277234e-07
2001,4,1.0949366696877405e-05
