n,trial,tv
1,0,0.5598253607749939
1,1,0.4215675890445709
1,2,0.9222785234451294
1,3,0.650747537612915
1,4,1.1132351160049438
2,0,1.573350429534912
2,1,1.4636681079864502
2,2,0.499565064907074
2,3,1.0266510248184204
2,4,0.3936944901943207
6,0,1.005853295326233
6,1,0.022241324186325073
6,2,0.5495040416717529
6,3,0.9552892446517944
6,4,0.4277966618537903
11,0,0.12558181583881378
11,1,0.07765282690525055
11,2,0.08145109564065933
11,3,0.7440606355667114
11,4,0.9499350190162659
51,0,6.689540896331891e-05
51,1,3.3139709557872266e-05
51,2,1.5122565031051636
51,3,1.0652555227279663
51,4,1.5219550132751465
101,0,0.030390767380595207
101,1,1.3655049800872803
101,2,1.2158305644989014
101,3,1.445464849472046
101,4,1.5173500776290894
201,0,0.2436750829219818
201,1,1.512251377105713
201,2,1.5225878953933716
201,3,0.21734808385372162
201,4,0.9640225172042847
501,0,3.549789835233241e-05
501,1,2.6982872441294603e-05
501,2,4.2875149119936395e-06
501,3,6.774107532692142e-06
501,4,1.5169720649719238
1001,0,0.900276780128479
1001,1,1.4893195629119873
1001,2,1.3450685401039664e-06
1001,3,6.31019938737154e-05
1001,4,0.9002771377563477
2001,0,1.5225872993469238
2001,1,4.909717972623184e-06
2001,2,1.5225874185562134
2001,3,1.5225876569747925
2001,4,8.192436098397593e-07
