n,trial,mean_diff,min_diff,max_diff
1,0,0.9615325927734375,0.658203125,1.5234375
1,1,0.9615325927734375,0.658203125,1.5234375
1,2,0.9615325927734375,0.658203125,1.5234375
1,3,0.9615325927734375,0.658203125,1.5234375
1,4,0.9615325927734375,0.658203125,1.5234375
2,0,1.0276031494140625,0.71875,2.875
2,1,0.7560882568359375,0.5703125,0.94140625
2,2,0.7862396240234375,0.63671875,1.0234375
2,3,0.7519378662109375,0.5673828125,1.0078125
2,4,0.7560882568359375,0.5703125,0.94140625
6,0,0.46527099609375,0.3447265625,0.650390625
6,1,0.537139892578125,0.41015625,0.875
6,2,0.7320098876953125,0.5390625,1.0390625
6,3,0.5758552551269531,0.40625,0.8984375
6,4,0.5247344970703125,0.39453125,0.765625
11,0,0.4484100341796875,0.35546875,0.6171875
11,1,0.4744415283203125,0.3349609375,0.779296875
11,2,0.581390380859375,0.390625,1.5
11,3,0.474761962890625,0.33984375,0.6953125
11,4,0.4343528747558594,0.3125,0.875
51,0,0.283905029296875,0.1953125,0.666015625
51,1,0.3252716064453125,0.220703125,0.455078125
51,2,0.410003662109375,0.30078125,0.6015625
51,3,0.233306884765625,0.15234375,0.875
51,4,0.4587898254394531,0.32421875,1.75
101,0,0.304351806640625,0.20703125,0.46875
101,1,0.255889892578125,0.17578125,0.75
101,2,0.331085205078125,0.203125,0.62060546875
101,3,0.2726593017578125,0.17138671875,0.57421875
101,4,0.36273956298828125,0.248046875,0.625
201,0,0.271484375,0.16015625,1.625
201,1,0.29755401611328125,0.1484375,0.796875
201,2,0.254669189453125,0.158203125,0.4375
201,3,0.2799835205078125,0.15234375,0.72265625
201,4,0.2760162353515625,0.1484375,1.125
501,0,0.19842529296875,0.1015625,0.375
501,1,0.2413482666015625,0.1328125,1.25
501,2,0.2533111572265625,0.13671875,1.375
501,3,0.2935905456542969,0.142578125,0.8125
501,4,0.1717071533203125,0.107421875,0.3046875
1001,0,0.200592041015625,0.11328125,0.328125
1001,1,0.2408599853515625,0.125,0.5
1001,2,0.3951263427734375,0.1953125,2.0
1001,3,0.2477264404296875,0.126953125,0.59375
1001,4,0.24325180053710938,0.1199951171875,1.0
2001,0,0.19757080078125,0.109375,0.75
2001,1,0.3152923583984375,0.158203125,1.6875
2001,2,0.2775115966796875,0.125,0.875
2001,3,0.23735809326171875,0.1171875,0.875
2001,4,0.6397628784179688,0.275390625,2.25
4001,0,0.2032928466796875,0.09765625,0.39453125
4001,1,0.20977783203125,0.08984375,0.75
4001,2,0.231536865234375,0.1171875,1.125
4001,3,0.247344970703125,0.125,0.875
4001,4,0.2147064208984375,0.103515625,0.53125
8001,0,0.1562042236328125,0.072265625,0.361328125
8001,1,0.298248291015625,0.1328125,1.5
8001,2,0.3143348693847656,0.1337890625,1.75
8001,3,0.3074455261230469,0.14013671875,1.25
8001,4,0.41058349609375,0.203125,2.125
