n,trial,mean_diff,min_diff,max_diff
1,0,1.20843505859375,0.7578125,4.6875
1,1,1.20843505859375,0.7578125,4.6875
1,2,1.20843505859375,0.7578125,4.6875
1,3,1.20843505859375,0.7578125,4.6875
1,4,1.20843505859375,0.7578125,4.6875
2,0,0.88250732421875,0.68359375,1.5
2,1,0.88250732421875,0.68359375,1.5
2,2,0.88250732421875,0.68359375,1.5
2,3,0.88250732421875,0.68359375,1.5
2,4,0.88250732421875,0.68359375,1.5
6,0,0.5716705322265625,0.40625,0.8046875
6,1,0.5716705322265625,0.40625,0.8046875
6,2,0.5716705322265625,0.40625,0.8046875
6,3,0.5716705322265625,0.40625,0.8046875
6,4,0.5716705322265625,0.40625,0.8046875
11,0,0.62579345703125,0.484375,0.87890625
11,1,0.62579345703125,0.484375,0.87890625
11,2,0.62579345703125,0.484375,0.87890625
11,3,0.62579345703125,0.484375,0.87890625
11,4,0.62579345703125,0.484375,0.87890625
51,0,0.7156982421875,0.46875,2.4375
51,1,0.7156982421875,0.46875,2.4375
51,2,0.7156982421875,0.46875,2.4375
51,3,0.7156982421875,0.46875,2.4375
51,4,0.7156982421875,0.46875,2.4375
101,0,0.58380126953125,0.4140625,1.6875
101,1,0.58380126953125,0.4140625,1.6875
101,2,0.58380126953125,0.4140625,1.6875
101,3,0.58380126953125,0.4140625,1.6875
101,4,0.58380126953125,0.4140625,1.6875
201,0,0.7227783203125,0.5390625,1.046875
201,1,0.7227783203125,0.5390625,1.046875
201,2,0.7227783203125,0.5390625,1.046875
201,3,0.7227783203125,0.5390625,1.046875
201,4,0.7227783203125,0.5390625,1.046875
501,0,0.867218017578125,0.625,1.375
501,1,0.867218017578125,0.625,1.375
501,2,0.867218017578125,0.625,1.375
501,3,0.867218017578125,0.625,1.375
501,4,0.867218017578125,0.625,1.375
1001,0,0.72064208984375,0.48828125,1.5
1001,1,0.72064208984375,0.48828125,1.5
1001,2,0.72064208984375,0.48828125,1.5
1001,3,0.72064208984375,0.48828125,1.5
1001,4,0.72064208984375,0.48828125,1.5
2001,0,0.4708251953125,0.3515625,0.6328125
2001,1,0.4708251953125,0.3515625,0.6328125
2001,2,0.4708251953125,0.3515625,0.6328125
2001,3,0.4708251953125,0.3515625,0.6328125
2001,4,0.4708251953125,0.3515625,0.6328125
