n,trial,true,pred,err,gen
1,0,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
1,1,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
1,2,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
1,3,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
1,4,0,1,1,"A: 0

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 0?
A: 1

Q: How many ones a"
1,5,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
1,6,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
1,7,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
1,8,0,1,1,"A: 0

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 0?
A: 1

Q: How many ones a"
1,9,1,1,0,"A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones are in this sequence: 1?
A: 1

Q: How many ones a"
2,0,2,1,1,"A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many on"
2,1,2,1,1,"A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many on"
2,2,1,1,0,"A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many on"
2,3,1,1,0,"A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many on"
2,4,2,1,1,"A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many on"
2,5,2,1,1,"A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many on"
2,6,2,1,1,"A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many ones are in this sequence: 1 1?
A: 1

Q: How many on"
2,7,1,1,0,"A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many on"
2,8,1,1,0,"A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many ones are in this sequence: 1 0?
A: 1

Q: How many on"
2,9,1,1,0,"A: 1

Q: How many ones are in this sequence: 1 0 1 1 1 1?
A: 1

Q: How many ones are in this sequence: 0 1?
A: 1

Q: How"
5,0,5,1,4,"A: 1

Q: How many ones are in this sequence: 0 1 0 1 1 1?
A: 1

Q: How many ones are in this sequence: 1 1 1 1 1 1?
A: 1"
5,1,2,1,1,"A: 0

Q: How many ones are in this sequence: 1 0 1 1 1 1?
A: 1

Q: How many ones are in this sequence: 1 0 1 1 1 1?
A: 1"
5,2,5,1,4,"A: 1

Q: How many ones are in this sequence: 0 1 0 1 1 1?
A: 1

Q: How many ones are in this sequence: 1 1 1 1 1 1?
A: 1"
5,3,3,1,2,"A: 1

Q: How many ones are in this sequence: 1 1 0 1 1 1?
A: 1

Q: How many ones are in this sequence: 1 1 0 1 1 1?
A: 1"
5,4,3,1,2,"A: 0

Q: How many ones are in this sequence: 1 0 1 1 1 1?
A: 1

Q: How many ones are in this sequence: 0 0 1 1 1 1?
A: 1"
5,5,3,1,2,"A: 1

Q: How many ones are in this sequence: 1 1 1 0 0?
A: 1

Q: How many ones are in this sequence: 1 1 1 0 0?
A: 1

Q:"
5,6,5,1,4,"A: 1

Q: How many ones are in this sequence: 0 1 0 1 1 1?
A: 1

Q: How many ones are in this sequence: 1 1 1 1 1 1?
A: 1"
5,7,4,1,3,"A: 1

Q: How many ones are in this sequence: 1 1 1 0 1 1?
A: 1

Q: How many ones are in this sequence: 1 1 1 0 1 1?
A: 1"
5,8,2,1,1,"A: 0

Q: How many ones are in this sequence: 1 0 1 1 0?
A: 1

Q: How many ones are in this sequence: 1 0 1 1 0?
A: 1

Q:"
5,9,3,1,2,"A: 0

Q: How many ones are in this sequence: 1 0 1 1 1 1?
A: 1

Q: How many ones are in this sequence: 0 0 1 1 1 1?
A: 1"
