n,trial,true,pred,err,gen
1,0,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,1,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,2,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,3,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,4,0,6,6,"5

Q: How many ones are in this sequence: 1?
A: 6"
1,5,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,6,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,7,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,8,0,6,6,"5

Q: How many ones are in this sequence: 1?
A: 6"
1,9,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
2,0,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,1,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,2,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,3,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,4,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,5,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,6,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,7,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,8,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,9,1,6,5,"5

Q: How many ones are in this sequence: 0 1?
A: 6"
5,0,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1?"
5,1,2,1,1,"5

Q: How many ones are in this sequence: 0 1 0 1 1?"
5,2,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1?"
5,3,3,1,2,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1?"
5,4,3,1,2,"5

Q: How many ones are in this sequence: 0 1 0 1 1?"
5,5,3,0,3,"5

Q: How many ones are in this sequence: 1 1 1 0 0?"
5,6,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1?"
5,7,4,1,3,"5

Q: How many ones are in this sequence: 1 1 1 0 1?"
5,8,2,1,1,"5

Q: How many ones are in this sequence: 0 1 1 0 1?"
5,9,3,1,2,"5

Q: How many ones are in this sequence: 0 1 0 1 1?"
10,0,6,1,5,"5

Q: How many ones are in this sequence: 1 1 1 0 0 0 1"
10,1,7,1,6,"5

Q: How many ones are in this sequence: 0 1 1 1 1 1 1"
10,2,7,1,6,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
10,3,8,1,7,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
10,4,6,1,5,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
10,5,7,1,6,"5

Q: How many ones are in this sequence: 0 1 1 1 1 1 1"
10,6,8,1,7,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
10,7,7,1,6,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
10,8,7,1,6,"5

Q: How many ones are in this sequence: 0 1 0 1 1 1 1"
10,9,6,1,5,"5

Q: How many ones are in this sequence: 0 1 0 1 1 1 1"
15,0,10,1,9,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
15,1,8,1,7,"5

Q: How many ones are in this sequence: 0 1 1 1 1 1 1"
15,2,11,1,10,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
