n,trial,pred,err,gen
1,0,5,4,"5

Sequence:"
1,1,2,1,"2

Sequence:"
1,2,4,3,"4

Sequence:"
1,3,4,3,"4

Sequence:"
1,4,1,0,"1

Sequence:"
1,5,1,0,"1

Sequence:"
1,6,3,2,"3

Sequence:"
1,7,4,3,"4

Sequence:"
1,8,1,0,"1

Answer: 4"
1,9,2,1,"2

Sequence:"
1,10,2,1,"2

Sequence:"
1,11,1,0,"1

Answer: 1"
1,12,2,1,"2

Sequence:"
1,13,2,1,"2

Sequence:"
1,14,1,0,"1

Sequence:"
1,15,2,1,"2

Sequence:"
1,16,2,1,"2

Sequence:"
1,17,2,1,"2

Sequence:"
1,18,2,1,"2

Sequence:"
1,19,4,3,"4

Sequence:"
2,0,1,1,"1

Answer: 1"
2,1,5,3,"5

Sequence:"
2,2,1,1,"1

Sequence:"
2,3,4,2,"4

Sequence:"
2,4,1,1,"1

Sequence:"
2,5,4,2,"4

Sequence:"
2,6,2,0,"2

Sequence:"
2,7,1,1,"1

Answer: 1"
2,8,2,0,"2

Sequence:"
2,9,5,3,"5

Sequence:"
2,10,2,0,"2

Sequence:"
2,11,1,1,"1

Answer: 1"
2,12,3,1,"3

Sequence:"
2,13,4,2,"4

Sequence:"
2,14,3,1,"3

Sequence:"
2,15,1,1,"1

Sequence:"
2,16,1,1,"1

Sequence:"
2,17,1,1,"1

Sequence:"
2,18,1,1,"1

Answer: 1"
2,19,5,3,"5

Sequence:"
3,0,4,1,"4

Sequence:"
3,1,3,0,"3

Sequence:"
3,2,1,2,"1

Sequence:"
3,3,4,1,"4

Sequence:"
3,4,3,0,"3

Sequence:"
3,5,2,1,"2

Sequence:"
3,6,4,1,"4

Sequence:"
3,7,2,1,"2

Sequence:"
3,8,2,1,"2

Sequence:"
3,9,2,1,"2

Sequence:"
3,10,4,1,"4

Sequence:"
3,11,4,1,"4

Sequence:"
3,12,2,1,"2

Sequence:"
3,13,1,2,"1

Sequence:"
3,14,2,1,"2

Sequence:"
3,15,4,1,"4

Sequence:"
3,16,3,0,"3

Sequence:"
3,17,4,1,"4

Sequence:"
3,18,1,2,"1

Sequence:"
3,19,2,1,"2

Sequence:"
4,0,2,2,"2

Sequence:"
4,1,2,2,"2

Sequence:"
4,2,3,1,"3

Sequence:"
4,3,6,2,"6

Sequence:"
4,4,3,1,"3

Sequence:"
4,5,1,3,"1

Sequence:"
4,6,4,0,"4

Sequence:"
4,7,4,0,"4

Sequence:"
4,8,1,3,"1

Sequence:"
4,9,3,1,"3

Sequence:"
4,10,2,2,"2

Sequence:"
4,11,4,0,"4

Sequence:"
4,12,5,1,"5

Sequence:"
4,13,3,1,"3

Sequence:"
4,14,2,2,"2

Sequence:"
4,15,2,2,"2

Sequence:"
4,16,3,1,"3

Sequence:"
4,17,1,3,"1

Sequence:"
4,18,5,1,"5

Sequence:"
4,19,7,3,"7

Sequence:"
5,0,8,3,"8

Sequence:"
5,1,2,3,"2

Sequence:"
5,2,1,4,"1

Sequence:"
5,3,3,2,"3

Sequence:"
5,4,2,3,"2

Sequence:"
5,5,4,1,"4

Sequence:"
5,6,1,4,"1

Sequence:"
5,7,4,1,"4

Sequence:"
5,8,2,3,"2

Sequence:"
5,9,7,2,"7

Sequence:"
5,10,1,4,"1

Sequence:"
5,11,1,4,"1

Sequence:"
5,12,8,3,"8

Sequence:"
5,13,2,3,"2

Sequence:"
5,14,2,3,"2

Sequence:"
5,15,3,2,"3

Sequence:"
5,16,3,2,"3

Sequence:"
5,17,2,3,"2

Sequence:"
5,18,6,1,"6

Sequence:"
5,19,1,4,"1

Sequence:"
6,0,1,5,"1

Sequence:"
6,1,4,2,"4

Sequence:"
6,2,4,2,"4

Sequence:"
6,3,4,2,"4

Sequence:"
6,4,9,3,"9

Sequence:"
6,5,6,0,"6

Sequence:"
6,6,8,2,"8

Sequence:"
6,7,6,0,"6

Sequence:"
6,8,4,2,"4

Sequence:"
6,9,7,1,"7

Sequence:"
6,10,8,2,"8

Sequence:"
6,11,9,3,"9

Sequence:"
6,12,7,1,"7

Sequence:"
6,13,5,1,"5

Sequence:"
6,14,7,1,"7

Sequence:"
6,15,3,3,"3

Sequence:"
6,16,5,1,"5

Sequence:"
6,17,3,3,"3

Sequence:"
6,18,8,2,"8

Sequence:"
6,19,3,3,"3

Sequence:"
7,0,1,6,"1

Sequence:"
7,1,2,5,"2

Sequence:"
7,2,1,6,"1

Sequence:"
7,3,3,4,"3

Sequence:"
7,4,5,2,"5

Sequence:"
7,5,7,0,"7

Sequence:"
7,6,6,1,"6

Sequence:"
7,7,3,4,"3

Sequence:"
7,8,9,2,"9

Sequence:"
7,9,9,2,"9

Sequence:"
7,10,2,5,"2

Sequence:"
7,11,3,4,"3

Sequence:"
7,12,2,5,"2

Sequence:"
7,13,1,6,"1

Sequence:"
7,14,3,4,"3

Sequence:"
7,15,9,2,"9

Sequence:"
7,16,5,2,"5

Sequence:"
7,17,6,1,"6

Sequence:"
7,18,3,4,"3

Sequence:"
7,19,6,1,"6

Sequence:"
8,0,9,1,"9

Sequence:"
8,1,4,4,"4

Sequence:"
8,2,9,1,"9

Sequence:"
8,3,4,4,"4

Sequence:"
8,4,5,3,"5

Sequence:"
8,5,4,4,"4

Sequence:"
8,6,4,4,"4

Sequence:"
8,7,1,7,"1

Sequence:"
8,8,1,7,"1

Sequence:"
8,9,8,0,"8

Sequence:"
8,10,6,2,"6

Sequence:"
8,11,8,0,"8

Sequence:"
8,12,1,7,"1

Sequence:"
8,13,8,0,"8

Sequence:"
8,14,1,7,"1

Sequence:"
8,15,6,2,"6

Sequence:"
8,16,7,1,"7

Sequence:"
8,17,3,5,"3

Sequence:"
8,18,8,0,"8

Sequence:"
8,19,2,6,"2

Sequence:"
9,0,8,1,"8

Sequence:"
9,1,10,1,"10

Sequence:"
9,2,4,5,"4

Sequence:"
9,3,6,3,"6

Sequence:"
