n,trial,window,true,pred,err,gen
1,0,32,1,,,
1,1,32,1,,,
1,2,32,1,,,
1,3,32,1,,,
1,4,32,0,,,
1,5,32,1,,,
1,6,32,1,,,
1,7,32,1,,,
1,8,32,0,,,
1,9,32,1,,,
2,0,32,2,,,
2,1,32,2,,,
2,2,32,1,,,
2,3,32,1,,,
2,4,32,2,,,
2,5,32,2,,,
2,6,32,2,,,
2,7,32,1,,,
2,8,32,1,,,
2,9,32,1,,,
5,0,32,5,,,::::::::::::::::::::
5,1,32,2,,,::::::::::::::::::::
5,2,32,5,,,::::::::::::::::::::
5,3,32,3,,,::::::::::::::::::::
5,4,32,3,,,::::::::::::::::::::
5,5,32,3,,,::::::::::::::::::::
5,6,32,5,,,::::::::::::::::::::
5,7,32,4,,,
5,8,32,2,,,::::::::::::::::::::
5,9,32,3,,,::::::::::::::::::::
10,0,32,6,,,::::::::::::::::::::
10,1,32,7,,,::::::::::::::::::::
10,2,32,7,,,::::::::::::::::::::
10,3,32,8,,,::::::::::::::::::::
10,4,32,6,,,::::::::::::::::::::
10,5,32,7,,,::::::::::::::::::::
10,6,32,8,,,::::::::::::::::::::
10,7,32,7,,,::::::::::::::::::::
10,8,32,7,,,::::::::::::::::::::
10,9,32,6,,,::::::::::::::::::::
15,0,32,10,,,::::::::::::::::::::
15,1,32,8,,,::::::::::::::::::::
15,2,32,11,,,::::::::::::::::::::
15,3,32,10,,,::::::::::::::::::::
15,4,32,12,,,::::::::::::::::::::
15,5,32,6,,,::::::::::::::::::::
15,6,32,8,,,::::::::::::::::::::
15,7,32,11,,,::::::::::::::::::::
15,8,32,11,,,::::::::::::::::::::
15,9,32,13,,,::::::::::::::::::::
20,0,32,13,,,::::::::::::::::::::
20,1,32,16,,,::::::::::::::::::::
20,2,32,16,,,::::::::::::::::::::
20,3,32,14,,,::::::::::::::::::::
20,4,32,10,,,::::::::::::::::::::
20,5,32,13,,,::::::::::::::::::::
20,6,32,14,,,::::::::::::::::::::
20,7,32,14,,,::::::::::::::::::::
20,8,32,19,,,::::::::::::::::::::
20,9,32,13,,,::::::::::::::::::::
30,0,32,19,,,::::::::::::::::::::
30,1,32,23,,,::::::::::::::::::::
30,2,32,24,,,::::::::::::::::::::
30,3,32,22,,,::::::::::::::::::::
30,4,32,22,,,::::::::::::::::::::
30,5,32,21,,,::::::::::::::::::::
30,6,32,19,,,::::::::::::::::::::
30,7,32,16,,,::::::::::::::::::::
30,8,32,21,,,::::::::::::::::::::
30,9,32,18,,,::::::::::::::::::::
50,0,32,40,,,::::::::::::::::::::
50,1,32,31,,,::::::::::::::::::::
50,2,32,32,,,::::::::::::::::::::
50,3,32,40,,,::::::::::::::::::::
50,4,32,38,,,::::::::::::::::::::
50,5,32,34,,,::::::::::::::::::::
50,6,32,35,,,::::::::::::::::::::
50,7,32,33,,,::::::::::::::::::::
50,8,32,31,,,::::::::::::::::::::
50,9,32,39,,,::::::::::::::::::::
75,0,32,55,,,::::::::::::::::::::
75,1,32,53,,,::::::::::::::::::::
75,2,32,52,,,::::::::::::::::::::
75,3,32,51,,,::::::::::::::::::::
75,4,32,54,,,::::::::::::::::::::
75,5,32,54,,,::::::::::::::::::::
75,6,32,53,,,::::::::::::::::::::
75,7,32,51,,,::::::::::::::::::::
75,8,32,54,,,::::::::::::::::::::
75,9,32,50,,,::::::::::::::::::::
100,0,32,67,,,::::::::::::::::::::
100,1,32,71,,,::::::::::::::::::::
100,2,32,65,,,::::::::::::::::::::
100,3,32,71,,,::::::::::::::::::::
100,4,32,71,,,::::::::::::::::::::
100,5,32,76,,,::::::::::::::::::::
100,6,32,68,,,::::::::::::::::::::
100,7,32,68,,,::::::::::::::::::::
100,8,32,65,,,::::::::::::::::::::
100,9,32,68,,,::::::::::::::::::::
