n,trial,window,true,pred,err,gen
1,0,5,1,,,::::::::::::::::::::
1,1,5,1,,,::::::::::::::::::::
1,2,5,1,,,::::::::::::::::::::
1,3,5,1,,,::::::::::::::::::::
1,4,5,1,,,::::::::::::::::::::
1,5,5,1,,,::::::::::::::::::::
1,6,5,1,,,::::::::::::::::::::
1,7,5,1,,,::::::::::::::::::::
1,8,5,1,,,::::::::::::::::::::
1,9,5,1,,,::::::::::::::::::::
2,0,5,2,,,::::::::::::::::::::
2,1,5,2,,,::::::::::::::::::::
2,2,5,2,,,::::::::::::::::::::
2,3,5,2,,,::::::::::::::::::::
2,4,5,2,,,::::::::::::::::::::
2,5,5,2,,,::::::::::::::::::::
2,6,5,2,,,::::::::::::::::::::
2,7,5,2,,,::::::::::::::::::::
2,8,5,2,,,::::::::::::::::::::
2,9,5,2,,,::::::::::::::::::::
5,0,5,5,,,::::::::::::::::::::
5,1,5,5,,,::::::::::::::::::::
5,2,5,5,,,::::::::::::::::::::
5,3,5,5,,,::::::::::::::::::::
5,4,5,5,,,::::::::::::::::::::
5,5,5,5,,,::::::::::::::::::::
5,6,5,5,,,::::::::::::::::::::
5,7,5,5,,,::::::::::::::::::::
5,8,5,5,,,::::::::::::::::::::
5,9,5,5,,,::::::::::::::::::::
10,0,5,10,,,::::::::::::::::::::
10,1,5,10,,,::::::::::::::::::::
10,2,5,10,,,::::::::::::::::::::
10,3,5,10,,,::::::::::::::::::::
10,4,5,10,,,::::::::::::::::::::
10,5,5,10,,,::::::::::::::::::::
10,6,5,10,,,::::::::::::::::::::
10,7,5,10,,,::::::::::::::::::::
10,8,5,10,,,::::::::::::::::::::
10,9,5,10,,,::::::::::::::::::::
15,0,5,15,,,::::::::::::::::::::
15,1,5,15,,,::::::::::::::::::::
15,2,5,15,,,::::::::::::::::::::
15,3,5,15,,,::::::::::::::::::::
15,4,5,15,,,::::::::::::::::::::
15,5,5,15,,,::::::::::::::::::::
15,6,5,15,,,::::::::::::::::::::
15,7,5,15,,,::::::::::::::::::::
15,8,5,15,,,::::::::::::::::::::
15,9,5,15,,,::::::::::::::::::::
20,0,5,20,,,::::::::::::::::::::
20,1,5,20,,,::::::::::::::::::::
20,2,5,20,,,::::::::::::::::::::
20,3,5,20,,,::::::::::::::::::::
20,4,5,20,,,::::::::::::::::::::
20,5,5,20,,,::::::::::::::::::::
20,6,5,20,,,::::::::::::::::::::
20,7,5,20,,,::::::::::::::::::::
20,8,5,20,,,::::::::::::::::::::
20,9,5,20,,,::::::::::::::::::::
30,0,5,30,,,::::::::::::::::::::
30,1,5,30,,,::::::::::::::::::::
30,2,5,30,,,::::::::::::::::::::
30,3,5,30,,,::::::::::::::::::::
30,4,5,30,,,::::::::::::::::::::
30,5,5,30,,,::::::::::::::::::::
30,6,5,30,,,::::::::::::::::::::
30,7,5,30,,,::::::::::::::::::::
30,8,5,30,,,::::::::::::::::::::
30,9,5,30,,,::::::::::::::::::::
50,0,5,50,,,
50,1,5,50,,,
50,2,5,50,,,
50,3,5,50,,,
50,4,5,50,,,
50,5,5,50,,,
50,6,5,50,,,
50,7,5,50,,,
50,8,5,50,,,
50,9,5,50,,,
75,0,5,75,,,
75,1,5,75,,,
75,2,5,75,,,
75,3,5,75,,,
75,4,5,75,,,
75,5,5,75,,,
75,6,5,75,,,
75,7,5,75,,,
75,8,5,75,,,
75,9,5,75,,,
100,0,5,100,,,
100,1,5,100,,,
100,2,5,100,,,
100,3,5,100,,,
100,4,5,100,,,
100,5,5,100,,,
100,6,5,100,,,
100,7,5,100,,,
100,8,5,100,,,
100,9,5,100,,,
