n,trial,window,true,pred,err,gen
1,0,32,1,,,
1,1,32,1,,,
1,2,32,1,,,
1,3,32,1,,,
1,4,32,1,,,
1,5,32,1,,,
1,6,32,1,,,::::::::::::::::::::
1,7,32,1,,,::::::::::::::::::::
1,8,32,1,,,::::::::::::::::::::
1,9,32,1,,,
2,0,32,2,,,
2,1,32,2,,,::::::::::::::::::::
2,2,32,2,,,
2,3,32,2,,,::::::::::::::::::::
2,4,32,2,,,
2,5,32,2,,,::::::::::::::::::::
2,6,32,2,,,::::::::::::::::::::
2,7,32,2,,,
2,8,32,2,,,
2,9,32,2,,,::::::::::::::::::::
5,0,32,5,,,::::::::::::::::::::
5,1,32,5,,,::::::::::::::::::::
5,2,32,5,,,::::::::::::::::::::
5,3,32,5,,,::::::::::::::::::::
5,4,32,5,,,::::::::::::::::::::
5,5,32,5,,,::::::::::::::::::::
5,6,32,5,,,::::::::::::::::::::
5,7,32,5,,,::::::::::::::::::::
5,8,32,5,,,::::::::::::::::::::
5,9,32,5,,,::::::::::::::::::::
10,0,32,10,,,::::::::::::::::::::
10,1,32,10,,,::::::::::::::::::::
10,2,32,10,,,::::::::::::::::::::
10,3,32,10,,,::::::::::::::::::::
10,4,32,10,,,::::::::::::::::::::
10,5,32,10,,,::::::::::::::::::::
10,6,32,10,,,::::::::::::::::::::
10,7,32,10,,,::::::::::::::::::::
10,8,32,10,,,::::::::::::::::::::
10,9,32,10,,,::::::::::::::::::::
15,0,32,15,,,::::::::::::::::::::
15,1,32,15,,,::::::::::::::::::::
15,2,32,15,,,::::::::::::::::::::
15,3,32,15,,,::::::::::::::::::::
15,4,32,15,,,::::::::::::::::::::
15,5,32,15,,,::::::::::::::::::::
15,6,32,15,,,::::::::::::::::::::
15,7,32,15,,,::::::::::::::::::::
15,8,32,15,,,::::::::::::::::::::
15,9,32,15,,,::::::::::::::::::::
20,0,32,20,,,::::::::::::::::::::
20,1,32,20,,,::::::::::::::::::::
20,2,32,20,,,::::::::::::::::::::
20,3,32,20,,,::::::::::::::::::::
20,4,32,20,,,::::::::::::::::::::
20,5,32,20,,,::::::::::::::::::::
20,6,32,20,,,::::::::::::::::::::
20,7,32,20,,,::::::::::::::::::::
20,8,32,20,,,::::::::::::::::::::
20,9,32,20,,,::::::::::::::::::::
30,0,32,30,,,::::::::::::::::::::
30,1,32,30,,,::::::::::::::::::::
30,2,32,30,,,::::::::::::::::::::
30,3,32,30,,,::::::::::::::::::::
30,4,32,30,,,::::::::::::::::::::
30,5,32,30,,,::::::::::::::::::::
30,6,32,30,,,::::::::::::::::::::
30,7,32,30,,,::::::::::::::::::::
30,8,32,30,,,::::::::::::::::::::
30,9,32,30,,,::::::::::::::::::::
50,0,32,50,,,::::::::::::::::::::
50,1,32,50,,,::::::::::::::::::::
50,2,32,50,,,::::::::::::::::::::
50,3,32,50,,,::::::::::::::::::::
50,4,32,50,,,::::::::::::::::::::
50,5,32,50,,,::::::::::::::::::::
50,6,32,50,,,::::::::::::::::::::
50,7,32,50,,,::::::::::::::::::::
50,8,32,50,,,::::::::::::::::::::
50,9,32,50,,,::::::::::::::::::::
75,0,32,75,,,::::::::::::::::::::
75,1,32,75,,,::::::::::::::::::::
75,2,32,75,,,::::::::::::::::::::
75,3,32,75,,,::::::::::::::::::::
75,4,32,75,,,":::

A:::

A:::

A::"
75,5,32,75,,,"A

A"
75,6,32,75,,,::::::::::::::::::::
75,7,32,75,,,A:
75,8,32,75,,,"A:

A:"
75,9,32,75,,,::::::::::::::::::::
100,0,32,100,,,"A:
::::::::::::::::"
100,1,32,100,,,A::::::::::::::::::
100,2,32,100,,,"A:
::::::::::::::::"
100,3,32,100,,,
100,4,32,100,,,A::::::::::::::::::
100,5,32,100,,,A::::::::::::::::::
100,6,32,100,,,A::::::::::::::::::
100,7,32,100,,,"A:
:
:
:
:
:
:
:
:"
100,8,32,100,,,"A:
::::::::::::::::"
100,9,32,100,,,"A:
:
:
:
:
:
:
:
:"
