n,trial,window,true,pred,err,gen
1,0,9,1,,,::::::::::::::::::::
1,1,9,1,,,::::::::::::::::::::
1,2,9,1,,,::::::::::::::::::::
1,3,9,1,,,::::::::::::::::::::
1,4,9,1,,,::::::::::::::::::::
1,5,9,1,,,::::::::::::::::::::
1,6,9,1,,,::::::::::::::::::::
1,7,9,1,,,::::::::::::::::::::
1,8,9,1,,,::::::::::::::::::::
1,9,9,1,,,::::::::::::::::::::
2,0,9,2,,,::::::::::::::::::::
2,1,9,2,,,::::::::::::::::::::
2,2,9,2,,,::::::::::::::::::::
2,3,9,2,,,::::::::::::::::::::
2,4,9,2,,,::::::::::::::::::::
2,5,9,2,,,::::::::::::::::::::
2,6,9,2,,,::::::::::::::::::::
2,7,9,2,,,::::::::::::::::::::
2,8,9,2,,,::::::::::::::::::::
2,9,9,2,,,::::::::::::::::::::
5,0,9,5,,,::::::::::::::::::::
5,1,9,5,,,::::::::::::::::::::
5,2,9,5,,,::::::::::::::::::::
5,3,9,5,,,::::::::::::::::::::
5,4,9,5,,,::::::::::::::::::::
5,5,9,5,,,::::::::::::::::::::
5,6,9,5,,,::::::::::::::::::::
5,7,9,5,,,::::::::::::::::::::
5,8,9,5,,,::::::::::::::::::::
5,9,9,5,,,::::::::::::::::::::
10,0,9,10,,,::::::::::::::::::::
10,1,9,10,,,::::::::::::::::::::
10,2,9,10,,,::::::::::::::::::::
10,3,9,10,,,::::::::::::::::::::
10,4,9,10,,,::::::::::::::::::::
10,5,9,10,,,::::::::::::::::::::
10,6,9,10,,,::::::::::::::::::::
10,7,9,10,,,::::::::::::::::::::
10,8,9,10,,,::::::::::::::::::::
10,9,9,10,,,::::::::::::::::::::
15,0,9,15,,,::::::::::::::::::::
15,1,9,15,,,::::::::::::::::::::
15,2,9,15,,,::::::::::::::::::::
15,3,9,15,,,::::::::::::::::::::
15,4,9,15,,,::::::::::::::::::::
15,5,9,15,,,::::::::::::::::::::
15,6,9,15,,,::::::::::::::::::::
15,7,9,15,,,::::::::::::::::::::
15,8,9,15,,,::::::::::::::::::::
15,9,9,15,,,::::::::::::::::::::
20,0,9,20,,,::::::::::::::::::::
20,1,9,20,,,::::::::::::::::::::
20,2,9,20,,,::::::::::::::::::::
20,3,9,20,,,::::::::::::::::::::
20,4,9,20,,,::::::::::::::::::::
20,5,9,20,,,::::::::::::::::::::
20,6,9,20,,,::::::::::::::::::::
20,7,9,20,,,::::::::::::::::::::
20,8,9,20,,,::::::::::::::::::::
20,9,9,20,,,::::::::::::::::::::
30,0,9,30,,,::::::::::::::::::::
30,1,9,30,,,::::::::::::::::::::
30,2,9,30,,,::::::::::::::::::::
30,3,9,30,,,::::::::::::::::::::
30,4,9,30,,,::::::::::::::::::::
30,5,9,30,,,::::::::::::::::::::
30,6,9,30,,,::::::::::::::::::::
30,7,9,30,,,::::::::::::::::::::
30,8,9,30,,,::::::::::::::::::::
30,9,9,30,,,::::::::::::::::::::
50,0,9,50,,,
50,1,9,50,,,
50,2,9,50,,,
50,3,9,50,,,
50,4,9,50,,,
50,5,9,50,,,
50,6,9,50,,,
50,7,9,50,,,
50,8,9,50,,,
50,9,9,50,,,
75,0,9,75,,,
75,1,9,75,,,
75,2,9,75,,,
75,3,9,75,,,
75,4,9,75,,,
75,5,9,75,,,
75,6,9,75,,,
75,7,9,75,,,
75,8,9,75,,,
75,9,9,75,,,
100,0,9,100,,,
100,1,9,100,,,
100,2,9,100,,,
100,3,9,100,,,
100,4,9,100,,,
100,5,9,100,,,
100,6,9,100,,,
100,7,9,100,,,
100,8,9,100,,,
100,9,9,100,,,
