n,trial,window,true,pred,err,gen
1,0,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,1,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,2,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,3,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,4,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,5,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,6,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,7,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,8,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
1,9,global,1,1,0,"1

Q: What is 1 + 1 + 1 + 1?

A: 1"
2,0,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,1,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,2,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,3,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,4,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,5,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,6,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,7,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,8,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
2,9,global,2,1,1,"1

Q: What is 1 + 1?

A: 1

Q:"
5,0,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,1,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,2,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,3,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,4,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,5,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,6,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,7,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,8,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
5,9,global,5,1,4,"7

Q: What is 1 + 1 + 1 + 1 + 1?

A"
10,0,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,1,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,2,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,3,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,4,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,5,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,6,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,7,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,8,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
10,9,global,10,1,9,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,0,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,1,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,2,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,3,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,4,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,5,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,6,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,7,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,8,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
15,9,global,15,1,14,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
20,0,global,20,1,19,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
20,1,global,20,1,19,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
20,2,global,20,1,19,"1

Q: What is 1 + 1 + 1 + 1 + 1 + 1 + 1"
