n,trial,true,pred,err,gen
1,0,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, I will break down the sentence into indi"
1,1,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, we can simply look for the word 'car' in"
1,2,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'river bird ch"
1,3,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, we can simply look for the word 'car' in"
1,4,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'chair tree ho"
1,5,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, I will break down the sentence into indi"
1,6,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, we need to break it down into individual"
1,7,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, we can simply look for the word 'car' in"
1,8,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
1,9,1,1.0,0.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
2,0,2,12.0,10.0,"To count the number of times 'car' appears in the sentence, I will break down the sentence into indi"
2,1,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
2,2,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'book lamp bir"
2,3,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
2,4,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'book cloud st"
2,5,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
2,6,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'tree car' - 1"
2,7,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
2,8,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'dog river cha"
2,9,2,2.0,0.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'bird car dog "
5,0,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
5,1,5,1.0,4.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'cloud river c"
5,2,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
5,3,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
5,4,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
5,5,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
5,6,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
5,7,5,3.0,2.0,"To count the number of times 'car' appears in the sentence, I will break it down:

1. 'car lamp chai"
5,8,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
5,9,5,19.0,14.0,"To count the number of times 'car' appears in the sentence, I will go through the sentence word by w"
10,0,10,2.0,8.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,1,10,1.0,9.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,2,10,5.0,5.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,3,10,2.0,8.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,4,10,5.0,5.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,5,10,6.0,4.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,6,10,5.0,5.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,7,10,1.0,9.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,8,10,2.0,8.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
10,9,10,5.0,5.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,0,15,6.0,9.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,1,15,6.0,9.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,2,15,5.0,10.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,3,15,5.0,10.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,4,15,2.0,13.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,5,15,1.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,6,15,1.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,7,15,5.0,10.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,8,15,7.0,8.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
15,9,15,1.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,0,20,6.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,1,20,5.0,15.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,2,20,6.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,3,20,6.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,4,20,6.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,5,20,5.0,15.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,6,20,6.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,7,20,6.0,14.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,8,20,2.0,18.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
20,9,20,1.0,19.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,0,30,19.0,11.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,1,30,19.0,11.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,2,30,1.0,29.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,3,30,6.0,24.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,4,30,1.0,29.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,5,30,7.0,23.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,6,30,6.0,24.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,7,30,1.0,29.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,8,30,19.0,11.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
30,9,30,1.0,29.0,"To count the number of times 'car' appears in the given sentence, I will go through the sentence and"
50,0,50,37.0,13.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,1,50,34.0,16.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,2,50,31.0,19.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,3,50,34.0,16.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,4,50,34.0,16.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,5,50,34.0,16.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,6,50,27.0,23.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,7,50,34.0,16.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,8,50,34.0,16.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
50,9,50,34.0,16.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,0,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,1,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
75,2,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
75,3,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,4,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,5,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,6,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,7,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,8,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
75,9,75,37.0,38.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
100,0,100,43.0,57.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,1,100,44.0,56.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,2,100,43.0,57.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,3,100,43.0,57.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,4,100,43.0,57.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,5,100,44.0,56.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,6,100,43.0,57.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,7,100,44.0,56.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,8,100,44.0,56.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
100,9,100,44.0,56.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
125,0,125,43.0,82.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,1,125,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,2,125,43.0,82.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,3,125,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,4,125,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,5,125,1.0,124.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,6,125,37.0,88.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,7,125,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,8,125,43.0,82.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
125,9,125,43.0,82.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,0,150,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,1,150,43.0,107.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,2,150,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,3,150,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,4,150,43.0,107.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,5,150,1.0,149.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,6,150,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,7,150,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,8,150,43.0,107.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
150,9,150,1.0,149.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,0,175,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,1,175,73.0,102.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
175,2,175,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,3,175,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,4,175,73.0,102.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis tool.

"
175,5,175,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,6,175,73.0,102.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,7,175,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,8,175,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
175,9,175,1.0,174.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
200,0,200,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
200,1,200,,,"To count the number of times 'car' appears in the given sentence, I will use a Python script to auto"
200,2,200,,,"To count the number of times 'car' appears in the given sentence, I will use a simple text analysis "
200,3,200,,,"To count the number of times 'car' appears in the given sentence, I will use a Python script to auto"
200,4,200,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
200,5,200,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
200,6,200,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
200,7,200,,,"To count the number of times 'car' appears in the given sentence, I will use a Python script to auto"
200,8,200,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
200,9,200,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,0,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,1,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,2,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,3,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,4,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,5,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,6,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,7,250,1.0,249.0,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,8,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
250,9,250,,,"To count the number of times 'car' appears in the given sentence, I will use a text analysis approac"
