n,trial,true,pred,err,gen
1,0,1,,,Please do not use any other words. Thank you.
1,1,1,,,Please do not use any other words. Thank you.
1,2,1,,,Please do not use any other words. Thank you.
1,3,1,,,Please do not use any other words. Thank you.
1,4,0,,,Please do not use any other words. Thank you.
1,5,1,,,Please do not use any other words. Thank you.
1,6,1,,,Please do not use any other words. Thank you.
1,7,1,,,Please do not use any other words. Thank you.
1,8,0,,,Please do not use any other words. Thank you.
1,9,1,,,Please do not use any other words. Thank you.
2,0,2,,,Please do not use any other words.
2,1,2,,,Please do not use any other words.
2,2,1,,,Please do not use any other words. Thank you.
2,3,1,,,Please do not use any other words. Thank you.
2,4,2,,,Please do not use any other words.
2,5,2,,,Please do not use any other words.
2,6,2,,,Please do not use any other words.
2,7,1,,,Please do not use any other words. Thank you.
2,8,1,,,Please do not use any other words. Thank you.
2,9,1,,,Please do not use any other words.
5,0,5,,,Please do not use any other words or symbols.
5,1,2,,,Please do not use any other words.
5,2,5,,,Please do not use any other words or symbols.
5,3,3,,,Please do not use any other words.
5,4,3,,,Please do not use any other words or symbols.
5,5,3,,,Please do not use any other words or symbols.
5,6,5,,,Please do not use any other words or symbols.
5,7,4,,,Please do not use any other words.
5,8,2,,,Please do not use any other words or symbols.
5,9,3,,,Please do not use any other words or symbols.
10,0,6,,,Please do not use any other words or symbols.
10,1,7,,,Please do not use any other words or symbols.
10,2,7,,,Please do not use any other words or symbols.
10,3,8,,,Please do not use any other words or symbols.
10,4,6,,,Please do not use any other words or symbols.
10,5,7,,,Please do not use any other words.
10,6,8,,,Please do not use any other words.
10,7,7,,,Please do not use any other words or symbols.
10,8,7,,,Please do not use any other words or symbols.
10,9,6,,,Please do not use any other words or symbols.
15,0,10,,,Please do not use any other words.
15,1,8,,,Please do not use any other words or symbols.
15,2,11,,,Please do not use any other words.
15,3,10,,,Please do not use any other words or symbols.
15,4,12,,,Please do not use any other words or symbols.
15,5,6,,,Please do not use any other words or symbols.
15,6,8,,,Please do not use any other words or symbols.
15,7,11,,,Please do not use any other words or symbols.
15,8,11,,,Please do not use any other words or symbols.
15,9,13,,,Please do not use any other words or symbols.
20,0,13,,,Please do not use any other words or symbols.
20,1,16,,,Please do not use any other words.
20,2,16,,,Please do not use any other words.
20,3,14,,,
20,4,10,,,
20,5,13,,,
20,6,14,,,Please do not use any other words or symbols.
20,7,14,,,
20,8,19,,,Please do not use any other words.
20,9,13,,,Please do not use any other words or symbols.
30,0,19,,,
30,1,23,,,
30,2,24,,,
30,3,22,,,
30,4,22,,,
30,5,21,,,
30,6,19,,,
30,7,16,,,
30,8,21,,,
30,9,18,,,
50,0,40,,,
50,1,31,,,
50,2,32,,,
50,3,40,,,
50,4,38,,,
50,5,34,,,
50,6,35,,,
50,7,33,,,
50,8,31,,,
50,9,39,,,
75,0,55,,,
75,1,53,,,
75,2,52,,,
75,3,51,,,
75,4,54,,,
75,5,54,,,
75,6,53,,,
75,7,51,,,
75,8,54,,,
75,9,50,,,
100,0,67,,,
100,1,71,,,
100,2,65,,,
100,3,71,,,
100,4,71,,,
100,5,76,,,
100,6,68,,,
100,7,68,,,
100,8,65,,,
100,9,68,,,
125,0,81,,,
125,1,81,,,
125,2,87,,,
125,3,101,,,
125,4,80,,,
125,5,91,,,
125,6,90,,,
125,7,80,,,
125,8,92,,,
125,9,84,,,
150,0,97,,,
150,1,104,,,
150,2,96,,,
150,3,105,,,
150,4,98,,,
150,5,97,,,
150,6,109,,,
150,7,98,,,
150,8,109,,,
150,9,109,,,
175,0,115,,,
175,1,116,,,
175,2,122,,,
175,3,121,,,
175,4,118,,,
175,5,131,,,
175,6,127,,,
175,7,124,,,
175,8,125,,,
175,9,117,,,
200,0,149,,,
200,1,132,,,
200,2,146,,,
200,3,145,,,
200,4,147,,,
200,5,132,,,
200,6,141,,,
200,7,149,,,
200,8,145,,,
200,9,139,,,
250,0,170,,,
250,1,169,,,
250,2,172,,,
250,3,179,,,
250,4,181,,,
250,5,187,,,
250,6,161,,,
250,7,165,,,
250,8,181,,,
250,9,174,,,
