n,trial,true,pred,err,gen
1,0,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,1,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,2,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,3,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,4,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,5,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,6,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,7,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,8,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
1,9,1,4.0,3.0,"2. Please give the answer in the form of a fraction, not a decimal. 3. Please gi"
2,0,2,,,Please do not use any other words in your answer.
2,1,2,,,Please do not use any other words in your answer.
2,2,2,,,Please do not use any other words in your answer.
2,3,2,,,Please do not use any other words in your answer.
2,4,2,,,Please do not use any other words in your answer.
2,5,2,,,Please do not use any other words in your answer.
2,6,2,,,Please do not use any other words in your answer.
2,7,2,,,Please do not use any other words in your answer.
2,8,2,,,Please do not use any other words in your answer.
2,9,2,,,Please do not use any other words in your answer.
5,0,5,,,Please do not use any other words in your answer.
5,1,5,,,Please do not use any other words in your answer.
5,2,5,,,Please do not use any other words in your answer.
5,3,5,,,Please do not use any other words in your answer.
5,4,5,,,Please do not use any other words in your answer.
5,5,5,,,Please do not use any other words in your answer.
5,6,5,,,Please do not use any other words in your answer.
5,7,5,,,Please do not use any other words in your answer.
5,8,5,,,Please do not use any other words in your answer.
5,9,5,,,Please do not use any other words in your answer.
10,0,10,,,Please do not use any other words in your answer.
10,1,10,,,Please do not use any other words in your answer.
10,2,10,,,Please do not use any other words in your answer.
10,3,10,,,Please do not use any other words in your answer.
10,4,10,,,Please do not use any other words in your answer.
10,5,10,,,Please do not use any other words in your answer.
10,6,10,,,Please do not use any other words in your answer.
10,7,10,,,Please do not use any other words in your answer.
10,8,10,,,Please do not use any other words in your answer.
10,9,10,,,Please do not use any other words in your answer.
15,0,15,,,Please do not use any other words in your answer.
15,1,15,,,Please do not use any other words in your answer.
15,2,15,,,Please do not use any other words in your answer.
15,3,15,,,Please do not use any other words in your answer.
15,4,15,,,Please do not use any other words in your answer.
15,5,15,,,Please do not use any other words in your answer.
15,6,15,,,Please do not use any other words in your answer.
15,7,15,,,Please do not use any other words in your answer.
15,8,15,,,Please do not use any other words in your answer.
15,9,15,,,Please do not use any other words in your answer.
20,0,20,,,
20,1,20,,,
20,2,20,,,
20,3,20,,,
20,4,20,,,
20,5,20,,,
20,6,20,,,
20,7,20,,,
20,8,20,,,
20,9,20,,,
30,0,30,,,
30,1,30,,,
30,2,30,,,
30,3,30,,,
30,4,30,,,
30,5,30,,,
30,6,30,,,
30,7,30,,,
30,8,30,,,
30,9,30,,,
50,0,50,,,
50,1,50,,,
50,2,50,,,
50,3,50,,,
50,4,50,,,
50,5,50,,,
50,6,50,,,
50,7,50,,,
50,8,50,,,
50,9,50,,,
75,0,75,,,
75,1,75,,,
75,2,75,,,
75,3,75,,,
75,4,75,,,
75,5,75,,,
75,6,75,,,
75,7,75,,,
75,8,75,,,
75,9,75,,,
100,0,100,,,
100,1,100,,,
100,2,100,,,
100,3,100,,,
100,4,100,,,
100,5,100,,,
100,6,100,,,
100,7,100,,,
100,8,100,,,
100,9,100,,,
125,0,125,,,
125,1,125,,,
125,2,125,,,
125,3,125,,,
125,4,125,,,
125,5,125,,,
125,6,125,,,
125,7,125,,,
125,8,125,,,
125,9,125,,,
150,0,150,,,
150,1,150,,,
150,2,150,,,
150,3,150,,,
150,4,150,,,
150,5,150,,,
150,6,150,,,
150,7,150,,,
150,8,150,,,
150,9,150,,,
175,0,175,,,
175,1,175,,,
175,2,175,,,
175,3,175,,,
175,4,175,,,
175,5,175,,,
175,6,175,,,
175,7,175,,,
175,8,175,,,
175,9,175,,,
200,0,200,,,
200,1,200,,,
200,2,200,,,
200,3,200,,,
200,4,200,,,
200,5,200,,,
200,6,200,,,
200,7,200,,,
200,8,200,,,
200,9,200,,,
250,0,250,,,
250,1,250,,,
250,2,250,,,
250,3,250,,,
250,4,250,,,
250,5,250,,,
250,6,250,,,
250,7,250,,,
250,8,250,,,
250,9,250,,,
