n,trial,true,pred,err,gen
1,0,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
1,1,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
1,2,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
1,3,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
1,4,0,2,2,"1

Q: How many ones are in this sequence: 1?
A: 2"
1,5,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
1,6,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
1,7,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
1,8,0,2,2,"1

Q: How many ones are in this sequence: 1?
A: 2"
1,9,1,4,3,"3

Q: How many ones are in this sequence: 0?
A: 4"
2,0,2,1,1,"4

Q: How many ones are in this sequence: 0 1 1 1 1?"
2,1,2,1,1,"4

Q: How many ones are in this sequence: 0 1 1 1 1?"
2,2,1,4,3,"3

Q: How many ones are in this sequence: 0 1?
A: 4"
2,3,1,4,3,"3

Q: How many ones are in this sequence: 0 1?
A: 4"
2,4,2,1,1,"4

Q: How many ones are in this sequence: 0 1 1 1 1?"
2,5,2,1,1,"4

Q: How many ones are in this sequence: 0 1 1 1 1?"
2,6,2,1,1,"4

Q: How many ones are in this sequence: 0 1 1 1 1?"
2,7,1,4,3,"3

Q: How many ones are in this sequence: 0 1?
A: 4"
2,8,1,4,3,"3

Q: How many ones are in this sequence: 0 1?
A: 4"
2,9,1,0,1,"4

Q: How many ones are in this sequence: 1 0 1 1 0?"
5,0,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1?"
5,1,2,1,1,"4

Q: How many ones are in this sequence: 0 0 1 0 1 1?"
5,2,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1?"
5,3,3,1,2,"4

Q: How many ones are in this sequence: 0 1 0 1 1 1?"
5,4,3,1,2,"4

Q: How many ones are in this sequence: 0 0 1 0 1?"
5,5,3,1,2,"5

Q: How many ones are in this sequence: 0 1 0 1 1 1?"
5,6,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1?"
5,7,4,1,3,"4

Q: How many ones are in this sequence: 0 1 0 1 1 1?"
5,8,2,1,1,"4

Q: How many ones are in this sequence: 0 1 1 0 1?"
