n,trial,true,pred,err,gen
1,0,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,1,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,2,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,3,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,4,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,5,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,6,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,7,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,8,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
1,9,1,1,0,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,0,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,1,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,2,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,3,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,4,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,5,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,6,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,7,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,8,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
2,9,2,1,1,"Counting each 1: 1, 2, 3, 4, 5.
A: 5

Q: How many ones are in this sequence: 1 1 1 1 1 1?
Counting each 1: 1, 2, 3, 4, 5"
5,0,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,1,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,2,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,3,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,4,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,5,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,6,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,7,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,8,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
5,9,5,73,68,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
10,0,10,73,63,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
10,1,10,73,63,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
10,2,10,73,63,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
10,3,10,73,63,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
10,4,10,73,63,"Counting each 1: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, "
