n,trial,true,pred,err,gen
1,0,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,1,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,2,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,3,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,4,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,5,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,6,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,7,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,8,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
1,9,1,8.0,7.0,"A: 1.

Q: How many ones are in this sequence: 2?

A: 2.

Q: How many ones are in this sequence: 3?

A: 3.

Q: How many o"
2,0,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
2,1,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
2,2,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
2,3,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
2,4,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
2,5,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
2,6,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
2,7,2,8.0,6.0,"A: 1 1

Q: How many ones are in this sequence: 2 2?

A: 2 2

Q: How many ones are in this sequence: 3 3?

A: 3 3

Q: How"
