n,trial,pred,err,gen
1,0,2,1,"2

Sequence: 1"
1,1,3,2,"3

Sequence: 1"
1,2,2,1,"2

Sequence: 1"
1,3,1,0,"1

Sequence: 1"
1,4,4,3,"4

Sequence: 1"
1,5,3,2,"3

Sequence: 1"
1,6,4,3,"4

Sequence: 1"
1,7,2,1,"2

Sequence: 1"
1,8,1,0,"1

Sequence: 1"
1,9,5,4,"5

Sequence: 1"
1,10,3,2,"3

Sequence: 1"
1,11,2,1,"2

Sequence: 1"
1,12,2,1,"2

Sequence: 1"
1,13,4,3,"4

Sequence: 1"
1,14,5,4,"5

Sequence: 1"
1,15,1,0,"1

Sequence: 1"
1,16,2,1,"2

Sequence: 1"
1,17,4,3,"4

Sequence: 1"
1,18,3,2,"3

Sequence: 1"
1,19,2,1,"2

Sequence: 1"
2,0,1,1,"1

Sequence: 1"
2,1,2,0,"2

Sequence: 1"
2,2,4,2,"4

Sequence: 1"
2,3,1,1,"1

Sequence: 1"
2,4,5,3,"5

Sequence: 1"
2,5,1,1,"1

Sequence: 1"
2,6,3,1,"3

Sequence: 1"
2,7,2,0,"2

Sequence: 1"
2,8,1,1,"1

Sequence: 1"
2,9,4,2,"4

Sequence: 1"
2,10,5,3,"5

Sequence: 1"
2,11,1,1,"1

Sequence: 1"
2,12,2,0,"2

Sequence: 1"
2,13,1,1,"1

Sequence: 1"
2,14,4,2,"4

Sequence: 1"
2,15,2,0,"2

Sequence: 1"
2,16,4,2,"4

Sequence: 1"
2,17,6,4,"6

Sequence: 1"
2,18,2,0,"2

Sequence: 1"
2,19,6,4,"6

Sequence: 1"
3,0,1,2,"1

Sequence: 1"
3,1,2,1,"2

Sequence: 1"
3,2,5,2,"5

Sequence: 1"
3,3,4,1,"4

Sequence: 1"
3,4,5,2,"5

Sequence: 1"
3,5,4,1,"4

Sequence: 1"
3,6,4,1,"4

Sequence: 1"
3,7,3,0,"3

Sequence: 1"
3,8,2,1,"2

Sequence: 1"
3,9,5,2,"5

Sequence: 1"
3,10,2,1,"2

Sequence: 1"
3,11,2,1,"2

Sequence: 1"
3,12,4,1,"4

Sequence: 1"
3,13,4,1,"4

Sequence: 1"
3,14,5,2,"5

Sequence: 1"
3,15,2,1,"2

Sequence: 1"
3,16,4,1,"4

Sequence: 1"
3,17,2,1,"2

Sequence: 1"
3,18,4,1,"4

Sequence: 1"
3,19,1,2,"1

Sequence: 1"
4,0,4,0,"4

Sequence: 1"
4,1,6,2,"6

Sequence: 1"
4,2,6,2,"6

Sequence: 1"
4,3,2,2,"2

Sequence: 1"
4,4,4,0,"4

Sequence: 1"
4,5,4,0,"4

Sequence: 1"
4,6,4,0,"4

Sequence: 1"
4,7,5,1,"5

Sequence: 1"
4,8,6,2,"6

Sequence: 1"
4,9,2,2,"2

Sequence: 1"
4,10,8,4,"8

Sequence: 1"
4,11,5,1,"5

Sequence: 1"
4,12,5,1,"5

Sequence: 1"
