n,trial,mean_diff,min_diff,max_diff
1,0,2.411834716796875,1.0712890625,6.5625
1,1,1.96661376953125,1.125,3.671875
1,2,1.821502685546875,0.796875,5.1875
1,3,2.455474853515625,1.140625,6.5703125
1,4,1.281890869140625,0.62109375,3.1875
2,0,1.485504150390625,0.6875,3.375
2,1,0.63104248046875,0.365234375,1.6015625
2,2,1.095703125,0.484375,2.875
2,3,0.839324951171875,0.6259765625,1.34375
2,4,1.5209274291992188,0.5087890625,3.84375
6,0,0.387969970703125,0.26171875,0.90625
6,1,0.385894775390625,0.267578125,1.078125
6,2,0.43328857421875,0.2041015625,1.203125
6,3,0.61273193359375,0.36328125,1.59375
6,4,0.41558837890625,0.2724609375,0.91015625
11,0,0.294525146484375,0.2236328125,0.42578125
11,1,0.2763671875,0.203125,0.34375
11,2,0.22735595703125,0.1640625,0.3046875
11,3,0.277313232421875,0.234375,0.4375
11,4,0.342041015625,0.25390625,0.65625
51,0,0.0975341796875,0.0703125,0.146484375
51,1,0.1634521484375,0.078125,0.30859375
51,2,0.083770751953125,0.05859375,0.140625
51,3,0.09844970703125,0.060546875,0.140625
51,4,0.09503173828125,0.0625,0.140625
101,0,0.14617919921875,0.0859375,0.359375
101,1,0.143951416015625,0.0830078125,0.3046875
101,2,0.13873291015625,0.078125,0.328125
101,3,0.139617919921875,0.08984375,0.3125
101,4,0.13055419921875,0.0810546875,0.265625
201,0,0.096527099609375,0.06298828125,0.203125
201,1,0.145477294921875,0.0859375,0.265625
201,2,0.12384033203125,0.076171875,0.3125
201,3,0.09100341796875,0.0625,0.140625
201,4,0.128997802734375,0.0888671875,0.3125
501,0,0.07843017578125,0.04296875,0.171875
501,1,0.1058349609375,0.046875,0.25
501,2,0.077911376953125,0.041015625,0.203125
501,3,0.132659912109375,0.04833984375,0.296875
501,4,0.08013916015625,0.04296875,0.203125
1001,0,0.047393798828125,0.0234375,0.109375
1001,1,0.0626220703125,0.03515625,0.140625
1001,2,0.0584716796875,0.029296875,0.15625
1001,3,0.04668426513671875,0.0234375,0.125
1001,4,0.02911376953125,0.0234375,0.0390625
2001,0,0.03204345703125,0.017578125,0.0625
2001,1,0.03289794921875,0.017578125,0.09375
2001,2,0.044769287109375,0.0234375,0.125
2001,3,0.03887939453125,0.0205078125,0.0625
2001,4,0.03466796875,0.0234375,0.0625
