n,trial,tv
1,0,0.510857880115509
1,1,0.9167504906654358
1,2,0.4060494899749756
1,3,0.7541431188583374
1,4,1.1132351160049438
2,0,0.8630468845367432
2,1,0.979838490486145
2,2,0.1087910458445549
2,3,0.8587076663970947
2,4,0.49104633927345276
6,0,0.002401078585535288
6,1,0.022241324186325073
6,2,0.02191852778196335
6,3,0.2245117723941803
6,4,0.008812245912849903
11,0,0.005998792592436075
11,1,0.09009193629026413
11,2,0.010925880633294582
11,3,0.23432041704654694
11,4,0.011519225314259529
51,0,0.0017652659444138408
51,1,0.03173823654651642
51,2,0.0017942178528755903
51,3,0.00016066181706264615
51,4,0.0008481343393214047
101,0,0.00023899896768853068
101,1,2.4436918465653434e-05
101,2,0.001135671162046492
101,3,8.83008397067897e-06
101,4,0.00104237359482795
201,0,0.00019950944988522679
201,1,0.00011435626947786659
201,2,3.048333564947825e-05
201,3,0.0009382350835949183
201,4,0.000163351753144525
501,0,0.0006648939452134073
501,1,0.00018303049728274345
501,2,1.0962471606035251e-05
501,3,0.0004328413342591375
501,4,9.432466322323307e-05
1001,0,0.0001274584064958617
1001,1,0.000859102641697973
1001,2,9.325549763161689e-05
1001,3,0.0003186509420629591
1001,4,0.00016959503409452736
2001,0,3.0495357350446284e-06
2001,1,9.440655412618071e-05
2001,2,0.0003743475244846195
2001,3,9.140637121163309e-05
2001,4,0.00017343218496534973
