n,trial,mean_diff,min_diff,max_diff
1,0,2.464599609375,1.060546875,6.7578125
1,1,1.96661376953125,1.125,3.671875
1,2,1.821502685546875,0.796875,5.1875
1,3,2.455474853515625,1.140625,6.5703125
1,4,1.5736846923828125,0.78125,4.078125
2,0,0.92138671875,0.671875,1.560546875
2,1,0.66534423828125,0.560546875,0.8359375
2,2,1.095703125,0.484375,2.875
2,3,1.0509033203125,0.826171875,1.408203125
2,4,0.64996337890625,0.400390625,1.1953125
6,0,1.12127685546875,0.6767578125,1.828125
6,1,0.97607421875,0.6298828125,2.5703125
6,2,1.0765838623046875,0.763671875,2.140625
6,3,0.78338623046875,0.58203125,1.328125
6,4,0.6510162353515625,0.375,1.359375
11,0,0.9765625,0.638671875,1.625
11,1,0.51556396484375,0.4072265625,1.0625
11,2,0.71441650390625,0.591796875,1.03515625
11,3,0.950775146484375,0.701171875,1.90234375
11,4,1.1435699462890625,0.58203125,2.3515625
51,0,0.870849609375,0.5859375,1.546875
51,1,0.4356689453125,0.2578125,0.796875
51,2,0.24310302734375,0.1640625,0.5
51,3,0.198883056640625,0.140625,0.3046875
51,4,0.21875,0.123046875,0.4921875
101,0,0.628997802734375,0.48046875,0.828125
101,1,0.48529052734375,0.37109375,0.59375
101,2,0.16522216796875,0.1171875,0.2548828125
101,3,0.51800537109375,0.3125,1.234375
101,4,0.3515625,0.25537109375,0.478515625
201,0,0.266754150390625,0.1875,0.34375
201,1,0.204681396484375,0.15625,0.3515625
201,2,0.1518230438232422,0.1015625,0.2421875
201,3,0.37139892578125,0.22265625,0.548828125
201,4,0.39495849609375,0.21875,0.921875
501,0,0.18927001953125,0.127197265625,0.453125
501,1,0.1678466796875,0.125,0.328125
501,2,0.31281280517578125,0.21142578125,0.71875
501,3,0.391357421875,0.2421875,0.734375
501,4,0.13985443115234375,0.083984375,0.24609375
1001,0,0.161773681640625,0.0849609375,0.3046875
1001,1,0.106842041015625,0.0703125,0.15869140625
1001,2,0.281463623046875,0.1953125,0.41015625
1001,3,0.359161376953125,0.2490234375,0.501953125
1001,4,0.250732421875,0.16796875,0.3974609375
2001,0,0.3903350830078125,0.21875,0.59619140625
2001,1,0.30462646484375,0.18359375,0.5810546875
2001,2,0.302337646484375,0.2041015625,0.4375
2001,3,0.085113525390625,0.0576171875,0.125
2001,4,0.2972602844238281,0.220703125,0.453125
