n,trial,mean_diff,min_diff,max_diff
1,0,2.7980144023895264,1.84375,5.5
1,1,2.7567951679229736,1.6796875,4.0
1,2,2.802734375,1.625,5.0
1,3,2.5003254413604736,1.859375,4.0
1,4,3.14892578125,1.75,6.5
2,0,1.3749593496322632,1.046875,2.125
2,1,1.4578043222427368,1.00146484375,2.5
2,2,1.45849609375,1.041015625,2.25
2,3,1.4273275136947632,0.9375,3.0
2,4,1.4026693105697632,1.078125,2.0
6,0,0.4397786557674408,0.3125,1.0
6,1,0.4270833432674408,0.3125,0.5625
6,2,0.4671224057674408,0.3125,1.0
6,3,0.4728190004825592,0.328125,1.0
6,4,0.4518229067325592,0.28125,1.0
11,0,0.3346354067325592,0.25,0.609375
11,1,0.4134114682674408,0.21875,1.0
11,2,0.3388671875,0.19140625,1.0
11,3,0.3639322817325592,0.203125,1.0
11,4,0.3587239682674408,0.21875,1.0
51,0,0.1907552033662796,0.125,0.515625
51,1,0.2392578125,0.125,0.5
51,2,0.271484375,0.125,0.5
51,3,0.2057291716337204,0.1171875,0.515625
51,4,0.2584635317325592,0.109375,0.53125
101,0,0.26171875,0.125,0.5
101,1,0.1818033903837204,0.125,0.5
101,2,0.21484375,0.109375,0.5
101,3,0.2604166567325592,0.125,0.5
101,4,0.2545572817325592,0.125,1.0
201,0,0.252197265625,0.1044921875,1.0
201,1,0.2708333432674408,0.125,0.5
201,2,0.2483723908662796,0.125,0.5
201,3,0.2701822817325592,0.109375,1.0
201,4,0.2307942658662796,0.125,0.5
501,0,0.23828125,0.125,0.6640625
501,1,0.2145182341337204,0.125,0.640625
501,2,0.3346354067325592,0.1875,1.0
501,3,0.2545572817325592,0.15625,0.625
501,4,0.26953125,0.15625,0.6953125
