n,trial,mean_diff,min_diff,max_diff
1,0,2.3583984375,2.0,2.8125
1,1,2.3583984375,2.0,2.8125
1,2,2.3583984375,2.0,2.8125
1,3,2.3583984375,2.0,2.8125
1,4,2.3583984375,2.0,2.8125
2,0,2.1088054180145264,1.5703125,3.0
2,1,2.1088054180145264,1.5703125,3.0
2,2,2.1088054180145264,1.5703125,3.0
2,3,2.1088054180145264,1.5703125,3.0
2,4,2.1088054180145264,1.5703125,3.0
6,0,0.5712890625,0.46875,0.875
6,1,0.5712890625,0.46875,0.875
6,2,0.5712890625,0.46875,0.875
6,3,0.5712890625,0.46875,0.875
6,4,0.5712890625,0.46875,0.875
11,0,0.4085286557674408,0.24609375,1.0
11,1,0.4085286557674408,0.24609375,1.0
11,2,0.4085286557674408,0.24609375,1.0
11,3,0.4085286557674408,0.24609375,1.0
11,4,0.4085286557674408,0.24609375,1.0
51,0,0.1953125,0.125,0.5
51,1,0.1953125,0.125,0.5
51,2,0.1953125,0.125,0.5
51,3,0.1953125,0.125,0.5
51,4,0.1953125,0.125,0.5
101,0,0.2805989682674408,0.125,1.0
101,1,0.2805989682674408,0.125,1.0
101,2,0.2805989682674408,0.125,1.0
101,3,0.2805989682674408,0.125,1.0
101,4,0.2805989682674408,0.125,1.0
201,0,0.2425130158662796,0.125,0.5
201,1,0.2425130158662796,0.125,0.5
201,2,0.2425130158662796,0.125,0.5
201,3,0.2425130158662796,0.125,0.5
201,4,0.2425130158662796,0.125,0.5
501,0,0.2259114533662796,0.15625,0.5
501,1,0.2259114533662796,0.15625,0.5
501,2,0.2259114533662796,0.15625,0.5
501,3,0.2259114533662796,0.15625,0.5
501,4,0.2259114533662796,0.15625,0.5
