n,trial,mean_diff,min_diff,max_diff
1,0,2.6886394023895264,2.34375,3.328125
1,1,3.012451171875,2.34375,5.0
1,2,2.9270832538604736,2.1875,3.59375
1,3,2.8628742694854736,2.21875,3.359375
1,4,3.2919921875,2.171875,4.5546875
2,0,1.7779947519302368,1.5,2.234375
2,1,1.72265625,1.25,2.03125
2,2,1.8531900644302368,1.5,2.1875
2,3,1.7569986581802368,1.5,2.171875
2,4,2.1658527851104736,1.9375,3.046875
6,0,0.5325520634651184,0.40625,1.0
6,1,0.556640625,0.3125,1.0
6,2,0.5263671875,0.375,1.0
6,3,0.571533203125,0.3505859375,1.0
6,4,0.6061198115348816,0.453125,1.0
11,0,0.345703125,0.2265625,0.5
11,1,0.2913411557674408,0.20703125,0.359375
11,2,0.3880208432674408,0.265625,1.0
11,3,0.3287760317325592,0.2109375,0.5
11,4,0.3811849057674408,0.265625,1.0
51,0,0.2194010466337204,0.125,0.5
51,1,0.216796875,0.125,0.5
51,2,0.1953125,0.125,0.5
51,3,0.3385416567325592,0.125,1.0
51,4,0.2018229216337204,0.125,0.5
101,0,0.2470703125,0.125,0.5
101,1,0.189453125,0.125,0.5
101,2,0.1888020783662796,0.125,0.5
101,3,0.1888020783662796,0.125,0.5
101,4,0.20703125,0.09375,0.5
201,0,0.2431640625,0.109375,0.5
201,1,0.1822916716337204,0.125,0.5
201,2,0.19140625,0.125,0.5
201,3,0.23779296875,0.125,0.5
201,4,0.28125,0.15625,1.0
501,0,0.30078125,0.125,1.0
501,1,0.2109375,0.125,0.5
501,2,0.2464192658662796,0.15625,0.5
501,3,0.2799479067325592,0.2109375,0.5
501,4,0.2220052033662796,0.125,0.5
