n,trial,mean_diff,min_diff,max_diff
1,0,2.6886394023895264,2.34375,3.328125
1,1,2.6886394023895264,2.34375,3.328125
1,2,2.6886394023895264,2.34375,3.328125
1,3,2.6886394023895264,2.34375,3.328125
1,4,2.6886394023895264,2.34375,3.328125
2,0,1.7581380605697632,1.28125,2.5
2,1,2.0315754413604736,1.71875,2.51953125
2,2,2.1134440898895264,1.65625,2.455078125
2,3,2.2146809101104736,1.78125,2.626953125
2,4,2.0315754413604736,1.71875,2.51953125
6,0,1.0052083730697632,0.859375,1.25
6,1,1.1848958730697632,0.875,1.5
6,2,1.3216146230697632,1.09375,1.71875
6,3,1.2216796875,1.0,1.75
6,4,1.1790364980697632,0.90625,2.0
11,0,0.7237955927848816,0.578125,0.96875
11,1,1.0244140625,0.8125,1.375
11,2,0.9251301884651184,0.75,1.171875
11,3,1.263671875,0.96875,2.0
11,4,1.1988118886947632,0.9375,1.453125
51,0,1.8463541269302368,1.3046875,4.0
51,1,1.8020833730697632,1.25,5.0
51,2,1.1204427480697632,0.8125,1.46875
51,3,1.4134114980697632,1.0625,1.8359375
51,4,1.2418619394302368,0.96875,1.6015625
101,0,0.90478515625,0.75,1.0625
101,1,0.98193359375,0.71875,1.5
101,2,1.400390625,0.875,3.0
101,3,2.1985676288604736,1.38671875,7.0
101,4,1.3479818105697632,0.93359375,3.0
201,0,1.3385416269302368,1.09375,1.625
201,1,1.8736978769302368,1.1875,4.5
201,2,1.3885904550552368,0.87890625,1.9375
201,3,2.4207355976104736,1.30859375,5.5
201,4,1.741455078125,1.25390625,2.5
501,0,1.35498046875,0.921875,2.5
501,1,1.2473958730697632,0.9453125,2.5
501,2,1.4626871347427368,1.0,3.0
501,3,2.0817058086395264,1.1875,4.5
501,4,1.5572916269302368,1.21875,2.125
