n,trial,mean_diff,min_diff,max_diff
1,0,1.285491943359375,1.013671875,1.875
1,1,1.434844970703125,1.095703125,2.125
1,2,1.5204925537109375,1.033203125,5.75
1,3,1.5393524169921875,1.08203125,3.125
1,4,1.367095947265625,0.97265625,3.625
2,0,1.008880615234375,0.740234375,1.875
2,1,1.1782150268554688,0.8359375,2.625
2,2,1.0817642211914062,0.7744140625,2.5
2,3,1.130340576171875,0.8740234375,1.5
2,4,1.051239013671875,0.744140625,2.375
6,0,0.6741943359375,0.4609375,1.1640625
6,1,0.6144866943359375,0.39404296875,1.1318359375
6,2,0.711212158203125,0.44921875,1.31982421875
6,3,0.714324951171875,0.5,1.0986328125
6,4,0.6653594970703125,0.435546875,1.138671875
11,0,0.433135986328125,0.2353515625,0.8154296875
11,1,0.39996337890625,0.2421875,0.87109375
11,2,0.3662261962890625,0.234375,0.6787109375
11,3,0.486236572265625,0.3115234375,0.91796875
11,4,0.368927001953125,0.19921875,0.70703125
51,0,0.271331787109375,0.14453125,0.525390625
51,1,0.2535400390625,0.1552734375,0.5078125
51,2,0.35359954833984375,0.201171875,0.6640625
51,3,1.383575439453125,0.822265625,3.125
51,4,0.2354736328125,0.1328125,0.5859375
101,0,0.27972412109375,0.1171875,0.6875
101,1,0.269927978515625,0.1337890625,0.6875
101,2,0.27728271484375,0.12890625,0.7421875
101,3,0.287200927734375,0.15234375,0.66796875
101,4,0.267730712890625,0.11328125,0.671875
201,0,0.215576171875,0.08203125,0.787109375
201,1,0.19866943359375,0.06640625,0.814453125
201,2,0.250732421875,0.078125,0.9296875
201,3,0.201873779296875,0.0673828125,0.625
201,4,0.18773651123046875,0.0625,0.671875
501,0,0.187255859375,0.078125,0.541015625
501,1,0.8074111938476562,0.4697265625,2.03125
501,2,0.259185791015625,0.115234375,1.044921875
501,3,0.474151611328125,0.27734375,1.0625
501,4,0.9337158203125,0.5703125,2.46875
1001,0,0.1904296875,0.0859375,0.419921875
1001,1,0.17855072021484375,0.08447265625,0.390625
1001,2,0.1222991943359375,0.046875,0.3984375
1001,3,0.125335693359375,0.0546875,0.296875
1001,4,0.274139404296875,0.15234375,0.640625
2001,0,0.2216796875,0.1015625,0.5625
2001,1,0.15087890625,0.060546875,0.3828125
2001,2,0.08892822265625,0.0390625,0.25
2001,3,0.145263671875,0.048828125,0.40625
2001,4,0.223297119140625,0.0859375,0.5
