n,trial,mean_diff,min_diff,max_diff
1,0,1.0340118408203125,0.76171875,1.39453125
1,1,1.0340118408203125,0.76171875,1.39453125
1,2,1.0340118408203125,0.76171875,1.39453125
1,3,1.0340118408203125,0.76171875,1.39453125
1,4,1.0340118408203125,0.76171875,1.39453125
2,0,0.7845840454101562,0.55078125,1.75
2,1,0.7845840454101562,0.55078125,1.75
2,2,0.7845840454101562,0.55078125,1.75
2,3,0.7845840454101562,0.55078125,1.75
2,4,0.7845840454101562,0.55078125,1.75
6,0,0.5516357421875,0.298828125,0.921875
6,1,0.5516357421875,0.298828125,0.921875
6,2,0.5516357421875,0.298828125,0.921875
6,3,0.5516357421875,0.298828125,0.921875
6,4,0.5516357421875,0.298828125,0.921875
11,0,0.5815277099609375,0.28125,1.12890625
11,1,0.5815277099609375,0.28125,1.12890625
11,2,0.5815277099609375,0.28125,1.12890625
11,3,0.5815277099609375,0.28125,1.12890625
11,4,0.5815277099609375,0.28125,1.12890625
51,0,0.3411712646484375,0.1796875,0.58203125
51,1,0.3411712646484375,0.1796875,0.58203125
51,2,0.3411712646484375,0.1796875,0.58203125
51,3,0.3411712646484375,0.1796875,0.58203125
51,4,0.3411712646484375,0.1796875,0.58203125
101,0,0.22149658203125,0.107421875,0.8125
101,1,0.22149658203125,0.107421875,0.8125
101,2,0.22149658203125,0.107421875,0.8125
101,3,0.22149658203125,0.107421875,0.8125
101,4,0.22149658203125,0.107421875,0.8125
201,0,0.18841552734375,0.06640625,0.671875
201,1,0.18841552734375,0.06640625,0.671875
201,2,0.18841552734375,0.06640625,0.671875
201,3,0.18841552734375,0.06640625,0.671875
201,4,0.18841552734375,0.06640625,0.671875
501,0,0.189178466796875,0.07421875,0.671875
501,1,0.189178466796875,0.07421875,0.671875
501,2,0.189178466796875,0.07421875,0.671875
501,3,0.189178466796875,0.07421875,0.671875
501,4,0.189178466796875,0.07421875,0.671875
1001,0,0.145233154296875,0.0546875,0.453125
1001,1,0.145233154296875,0.0546875,0.453125
1001,2,0.145233154296875,0.0546875,0.453125
1001,3,0.145233154296875,0.0546875,0.453125
1001,4,0.145233154296875,0.0546875,0.453125
2001,0,0.1502532958984375,0.0390625,0.66015625
2001,1,0.1502532958984375,0.0390625,0.66015625
2001,2,0.1502532958984375,0.0390625,0.66015625
2001,3,0.1502532958984375,0.0390625,0.66015625
2001,4,0.1502532958984375,0.0390625,0.66015625
4001,0,0.114410400390625,0.03515625,0.3359375
4001,1,0.114410400390625,0.03515625,0.3359375
4001,2,0.114410400390625,0.03515625,0.3359375
4001,3,0.114410400390625,0.03515625,0.3359375
4001,4,0.114410400390625,0.03515625,0.3359375
8001,0,0.1143341064453125,0.03515625,0.3515625
8001,1,0.1143341064453125,0.03515625,0.3515625
8001,2,0.1143341064453125,0.03515625,0.3515625
8001,3,0.1143341064453125,0.03515625,0.3515625
8001,4,0.1143341064453125,0.03515625,0.3515625
