n,trial,mean_diff,min_diff,max_diff
1,0,0.9615325927734375,0.658203125,1.5234375
1,1,1.1986236572265625,0.84765625,2.625
1,2,1.045623779296875,0.7109375,1.515625
1,3,1.1102066040039062,0.796875,1.75
1,4,1.0096664428710938,0.654296875,3.625
2,0,0.6443214416503906,0.50390625,1.125
2,1,0.800689697265625,0.6611328125,1.09375
2,2,0.7638092041015625,0.6015625,1.0546875
2,3,0.7928314208984375,0.62109375,1.01220703125
2,4,0.6247406005859375,0.484375,1.015625
6,0,0.5922966003417969,0.328125,1.10546875
6,1,0.6342391967773438,0.40869140625,1.09765625
6,2,0.5752410888671875,0.38671875,1.0009765625
6,3,0.44036865234375,0.263671875,0.880859375
6,4,0.632843017578125,0.2734375,1.10546875
11,0,0.664337158203125,0.341796875,1.31640625
11,1,0.6736831665039062,0.359375,1.3359375
11,2,0.65460205078125,0.37109375,1.1640625
11,3,0.49196624755859375,0.23828125,1.0830078125
11,4,0.5692901611328125,0.255859375,1.234375
51,0,0.2931976318359375,0.16015625,0.546875
51,1,0.2794647216796875,0.15625,0.53125
51,2,0.3029327392578125,0.1953125,0.521484375
51,3,0.2434234619140625,0.14013671875,0.447265625
51,4,0.3018341064453125,0.15625,0.6171875
101,0,0.2227020263671875,0.109375,0.6328125
101,1,0.2009429931640625,0.10546875,0.515625
101,2,0.2480926513671875,0.138671875,0.578125
101,3,0.1910858154296875,0.09765625,0.6171875
101,4,0.1973876953125,0.0927734375,0.609375
201,0,0.163421630859375,0.0625,0.625
201,1,0.1571807861328125,0.056640625,0.578125
201,2,0.1553955078125,0.06640625,0.515625
201,3,0.156829833984375,0.0546875,0.5625
201,4,0.16412353515625,0.0546875,0.5234375
501,0,0.193389892578125,0.08203125,0.6015625
501,1,0.177642822265625,0.068359375,0.61328125
501,2,0.151092529296875,0.0703125,0.6171875
501,3,0.18438720703125,0.068359375,0.703125
501,4,0.160858154296875,0.0625,0.62890625
1001,0,0.1346282958984375,0.046875,0.376953125
1001,1,0.111724853515625,0.046875,0.44140625
1001,2,0.137603759765625,0.0625,0.421875
1001,3,0.119293212890625,0.046875,0.3984375
1001,4,0.11059379577636719,0.0390625,0.40234375
2001,0,0.1414337158203125,0.046875,0.46875
2001,1,0.12389755249023438,0.046875,0.4921875
2001,2,0.11212158203125,0.041015625,0.34375
2001,3,0.1372833251953125,0.041015625,0.599609375
2001,4,0.1366729736328125,0.046875,0.4609375
