n,trial,mean_diff,min_diff,max_diff
1,0,1.13458251953125,0.8359375,1.57421875
1,1,1.1986236572265625,0.84765625,2.625
1,2,1.045623779296875,0.7109375,1.515625
1,3,1.1102066040039062,0.796875,1.75
1,4,1.016510009765625,0.7265625,2.18359375
2,0,1.26287841796875,0.9140625,4.875
2,1,1.1710357666015625,0.8828125,3.5
2,2,0.7638092041015625,0.6015625,1.0546875
2,3,1.2705764770507812,0.8369140625,2.75
2,4,0.8486328125,0.626953125,2.375
6,0,1.0832366943359375,0.890625,1.505859375
6,1,1.3131103515625,0.9765625,2.0
6,2,1.099609375,0.904296875,1.478515625
6,3,1.1201171875,0.830078125,2.25
6,4,0.40093994140625,0.28125,0.59375
11,0,1.23553466796875,0.9853515625,1.875
11,1,1.21484375,0.89453125,1.6171875
11,2,0.9626922607421875,0.703125,1.875
11,3,1.1964035034179688,0.89111328125,1.64453125
11,4,0.7202644348144531,0.48046875,2.625
51,0,0.8892059326171875,0.59375,1.625
51,1,0.2575225830078125,0.15625,0.421875
51,2,0.2306060791015625,0.140625,0.51171875
51,3,0.348175048828125,0.21875,0.546875
51,4,0.2391510009765625,0.125,0.69921875
101,0,0.6236724853515625,0.421875,1.109375
101,1,0.7194061279296875,0.333984375,1.6015625
101,2,0.285797119140625,0.171875,0.5
101,3,0.7397003173828125,0.42578125,1.626953125
101,4,0.611846923828125,0.2578125,1.484375
201,0,0.4921417236328125,0.259765625,1.0390625
201,1,0.50384521484375,0.1875,1.1875
201,2,0.31006622314453125,0.171875,0.78125
201,3,0.6705169677734375,0.3349609375,1.642578125
201,4,0.323699951171875,0.1484375,0.66796875
501,0,0.405914306640625,0.2578125,0.8828125
501,1,0.403045654296875,0.18359375,0.875
501,2,0.5424957275390625,0.2578125,1.3828125
501,3,0.7601470947265625,0.32421875,2.046875
501,4,0.24866485595703125,0.115234375,0.59375
1001,0,0.281646728515625,0.12109375,0.828125
1001,1,0.298583984375,0.1494140625,0.5546875
1001,2,0.820587158203125,0.390625,1.65625
1001,3,0.6978607177734375,0.23828125,2.32421875
1001,4,0.6534957885742188,0.32421875,1.5
2001,0,0.6722259521484375,0.248046875,1.70703125
2001,1,0.669158935546875,0.26953125,1.734375
2001,2,0.7506103515625,0.31640625,1.8984375
2001,3,0.21734619140625,0.1015625,0.53515625
2001,4,0.577301025390625,0.25,1.33984375
