n,trial,mean_diff,min_diff,max_diff
1,0,0.9862060546875,0.662109375,1.28125
1,1,1.3720703125,0.8046875,1.953125
1,2,1.117919921875,0.8125,1.71875
1,3,0.827392578125,0.546875,2.125
1,4,1.025634765625,0.609375,2.875
2,0,0.69244384765625,0.498046875,1.3125
2,1,0.8218994140625,0.5234375,1.296875
2,2,0.68280029296875,0.51171875,1.125
2,3,0.896484375,0.4638671875,4.625
2,4,0.57049560546875,0.4609375,0.75390625
6,0,0.59210205078125,0.359375,1.8125
6,1,0.571685791015625,0.4140625,0.78515625
6,2,0.646575927734375,0.4609375,1.3125
6,3,0.569580078125,0.390625,0.8203125
6,4,0.65447998046875,0.43359375,1.03125
11,0,0.5339584350585938,0.3466796875,1.5
11,1,0.7969970703125,0.4765625,3.125
11,2,0.5528564453125,0.3984375,1.75
11,3,0.84442138671875,0.52734375,2.25
11,4,0.60260009765625,0.42578125,1.375
51,0,0.56689453125,0.36328125,0.8359375
51,1,0.7528076171875,0.52734375,1.0625
51,2,0.67193603515625,0.5,1.375
51,3,0.65081787109375,0.421875,0.92578125
51,4,0.830322265625,0.39453125,2.0625
101,0,0.936309814453125,0.62158203125,2.875
101,1,0.62725830078125,0.36328125,0.859375
101,2,0.8450927734375,0.328125,3.125
101,3,0.88189697265625,0.54296875,2.9375
101,4,0.7354736328125,0.482421875,1.625
201,0,0.87078857421875,0.6328125,2.0
201,1,0.6748046875,0.3671875,3.4375
201,2,0.77001953125,0.5546875,1.125
201,3,0.9422607421875,0.6953125,1.640625
201,4,0.539306640625,0.421875,0.734375
501,0,0.7933349609375,0.59375,1.2734375
501,1,0.8209228515625,0.564453125,1.75
501,2,0.643798828125,0.46875,1.625
501,3,0.71746826171875,0.46875,1.171875
501,4,0.8514404296875,0.47265625,2.5
1001,0,0.9658203125,0.5625,4.5
1001,1,1.53759765625,0.7890625,3.0
1001,2,2.1116943359375,0.87890625,6.25
1001,3,1.20843505859375,0.84765625,1.65625
1001,4,1.3990478515625,0.90625,3.078125
