n,trial,mean_diff,min_diff,max_diff
1,0,1.10504150390625,0.640625,4.0
1,1,1.0594482421875,0.84765625,1.4921875
1,2,1.35784912109375,0.736328125,5.1875
1,3,1.064453125,0.6640625,4.25
1,4,1.0452880859375,0.703125,2.0625
2,0,0.6566162109375,0.45703125,0.94140625
2,1,1.0487060546875,0.623046875,3.4375
2,2,0.71075439453125,0.498046875,2.0
2,3,0.8199462890625,0.52734375,1.9375
2,4,0.63519287109375,0.4345703125,1.1875
6,0,0.55535888671875,0.36328125,1.4375
6,1,0.9197998046875,0.5390625,3.75
6,2,0.72418212890625,0.49609375,1.5625
6,3,0.60089111328125,0.4375,0.8671875
6,4,0.7987060546875,0.61328125,1.03125
11,0,0.815673828125,0.5,2.6875
11,1,0.74322509765625,0.5322265625,1.109375
11,2,0.840850830078125,0.55078125,1.875
11,3,0.7767333984375,0.548828125,0.96875
11,4,0.714385986328125,0.46875,1.1875
51,0,0.7816162109375,0.5234375,1.8125
51,1,0.6727752685546875,0.443115234375,1.0859375
51,2,0.858184814453125,0.5546875,3.4375
51,3,0.511474609375,0.3671875,0.8125
51,4,0.74200439453125,0.515625,1.5
101,0,0.776611328125,0.43359375,1.8125
101,1,0.786376953125,0.546875,1.03125
101,2,0.56793212890625,0.4140625,0.875
101,3,0.725311279296875,0.54736328125,1.0
101,4,0.9109649658203125,0.5390625,3.0
201,0,0.9886474609375,0.60546875,2.25
201,1,0.7822265625,0.5859375,1.66015625
201,2,0.6986083984375,0.51171875,1.9375
201,3,1.0316162109375,0.74609375,1.796875
201,4,0.694091796875,0.484375,1.25
501,0,0.6990966796875,0.4765625,1.09375
501,1,0.750244140625,0.546875,0.890625
501,2,1.1456451416015625,0.640625,4.375
501,3,0.7257080078125,0.482421875,1.75
501,4,0.9976806640625,0.69140625,2.0625
1001,0,1.518310546875,1.046875,2.59375
1001,1,0.3480224609375,0.26171875,0.5
1001,2,0.731201171875,0.47265625,1.625
1001,3,0.73626708984375,0.46875,1.75
1001,4,0.866119384765625,0.58447265625,1.875
2001,0,1.80224609375,1.1171875,2.5625
2001,1,0.6104736328125,0.390625,0.90625
2001,2,1.04840087890625,0.625,1.9375
2001,3,1.19677734375,0.671875,2.4375
2001,4,2.66455078125,1.42578125,5.6875
