n,trial,mean_diff,min_diff,max_diff
1,0,1.3031005859375,0.806640625,3.1875
1,1,0.9293212890625,0.65625,1.3125
1,2,0.9141845703125,0.76171875,1.078125
1,3,1.10125732421875,0.60546875,3.5
1,4,1.67279052734375,0.9833984375,6.625
2,0,1.098876953125,0.75390625,1.806640625
2,1,0.906219482421875,0.56640625,2.875
2,2,0.983184814453125,0.546875,2.5625
2,3,0.69427490234375,0.55859375,1.0078125
2,4,0.8502197265625,0.546875,1.625
6,0,0.965911865234375,0.67578125,2.9375
6,1,0.83251953125,0.60546875,1.3671875
6,2,0.869842529296875,0.5703125,2.6875
6,3,0.6636962890625,0.53125,1.03125
6,4,0.7935791015625,0.56640625,1.3125
11,0,0.94415283203125,0.53125,3.4375
11,1,0.637847900390625,0.3984375,1.625
11,2,0.69598388671875,0.5,2.0
11,3,0.78057861328125,0.50390625,1.3125
11,4,0.605712890625,0.3984375,1.25
51,0,0.80120849609375,0.6015625,0.96484375
51,1,0.66888427734375,0.47265625,1.25
51,2,0.5948486328125,0.47265625,0.8359375
51,3,0.7757568359375,0.609375,0.982421875
51,4,0.6455078125,0.46875,0.8671875
101,0,0.81591796875,0.546875,1.5625
101,1,0.69708251953125,0.49609375,0.8515625
101,2,0.685302734375,0.5,0.9375
101,3,0.8087158203125,0.625,2.25
101,4,0.96533203125,0.578125,1.484375
201,0,0.879852294921875,0.59375,1.703125
201,1,1.1063232421875,0.724609375,1.875
201,2,0.89935302734375,0.4921875,3.375
201,3,1.0435791015625,0.6875,2.6875
201,4,0.62823486328125,0.4375,1.6875
501,0,1.2392578125,0.83203125,2.3125
501,1,0.83135986328125,0.587890625,1.3125
501,2,0.89111328125,0.64453125,1.203125
501,3,1.07275390625,0.65625,2.75
501,4,0.650634765625,0.453125,0.9296875
1001,0,0.828857421875,0.6875,1.125
1001,1,0.780517578125,0.5859375,1.25
1001,2,0.73858642578125,0.515625,0.921875
1001,3,1.10113525390625,0.70703125,2.6875
1001,4,1.0614013671875,0.7578125,2.234375
2001,0,1.569580078125,0.8125,7.125
2001,1,1.478271484375,1.05078125,5.5625
2001,2,1.399169921875,0.58984375,5.9375
2001,3,0.7872314453125,0.609375,1.076171875
2001,4,1.120849609375,0.703125,3.15625
