n,trial,true,pred,err,gen
1,0,1,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
1,1,1,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
1,2,1,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
1,3,1,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
1,4,1,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
1,5,1,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
1,6,1,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
1,7,1,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
1,8,1,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
1,9,1,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
2,0,2,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
2,1,2,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
2,2,2,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
2,3,2,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
2,4,2,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
2,5,2,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
2,6,2,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
2,7,2,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
2,8,2,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
2,9,2,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
5,0,5,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
5,1,5,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
5,2,5,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
5,3,5,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
5,4,5,,,"The answer to your maths question is:

The answer to your maths question is:

Th"
5,5,5,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
5,6,5,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
5,7,5,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
5,8,5,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
5,9,5,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,0,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,1,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,2,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,3,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,4,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,5,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,6,10,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
10,7,10,,,"The answer to your maths question is: xxxx

The answer to your maths question is"
10,8,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
10,9,10,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
15,0,15,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
15,1,15,,,"The answer to your maths question is: xxxx', where 'xxxx' is your answer. The an"
