n,trial,true,pred,err,gen
1,0,1,3,2,"3

Q: How many times does 'car' appear in: dog car tree car tree"
1,1,1,1,0,"1

Q: How many times does 'car' appear in: stone dog tree river river"
1,2,1,1,0,"1

Q: How many times does 'car' appear in: dog car tree car tree"
1,3,1,3,2,"3

Q: How many times does 'car' appear in: bird tree tree tree tree"
1,4,1,3,2,"3

Q: How many times does 'car' appear in: lamp car tree car house"
1,5,1,1,0,"1

Q: How many times does 'car' appear in: dog car tree car tree"
1,6,1,1,0,"1

Q: How many times does 'car' appear in: dog car tree house river"
1,7,1,3,2,"3

Q: How many times does 'car' appear in: car lamp bird bird river"
1,8,1,1,0,"1

Q: How many times does 'car' appear in: river book river chair river"
1,9,1,3,2,"3

Q: How many times does 'car' appear in: dog car tree car lamp"
2,0,2,3,1,"3

Q: How many times does 'car' appear in: car tree car tree house"
2,1,2,3,1,"3

Q: How many times does 'car' appear in: dog car tree car house"
2,2,2,1,1,"1

Q: How many times does 'car' appear in: dog car tree car tree"
2,3,2,3,1,"3

Q: How many times does 'car' appear in: car tree lamp house lamp"
2,4,2,3,1,"3

Q: How many times does 'car' appear in: house bird cloud house bird"
2,5,2,1,1,"1

Q: How many times does 'car' appear in: house chair book car car"
2,6,2,1,1,"1

Q: How many times does 'car' appear in: car house house lamp lamp"
2,7,2,1,1,"1

Q: How many times does 'car' appear in: house car car tree car"
2,8,2,3,1,"3

Q: How many times does 'car' appear in: dog car tree car house"
2,9,2,3,1,"3

Q: How many times does 'car' appear in: dog car tree car tree"
5,0,5,3,2,"3

Q: How many times does 'car' appear in: car tree car tree car"
5,1,5,3,2,"3

Q: How many times does 'car' appear in: book book house book cloud"
5,2,5,1,4,"1

Q: How many times does 'car' appear in: car tree car tree car"
5,3,5,3,2,"3

Q: How many times does 'car' appear in: stone book book book book"
5,4,5,3,2,"3

Q: How many times does 'car' appear in: car tree car tree tree"
5,5,5,3,2,"3

Q: How many times does 'car' appear in: tree tree house tree house"
5,6,5,3,2,"3

Q: How many times does 'car' appear in: house house lamp river car"
5,7,5,3,2,"3

Q: How many times does 'car' appear in: car tree tree house tree"
5,8,5,1,4,"1

Q: How many times does 'car' appear in: car car tree car tree"
5,9,5,3,2,"3

Q: How many times does 'car' appear in: stone stone stone dog stone"
