n,trial,window,true,pred,err,gen
1,0,7,1,,,::::::::::::::::::::
1,1,7,1,,,::::::::::::::::::::
1,2,7,1,,,::::::::::::::::::::
1,3,7,1,,,::::::::::::::::::::
1,4,7,0,,,::::::::::::::::::::
1,5,7,1,,,::::::::::::::::::::
1,6,7,1,,,::::::::::::::::::::
1,7,7,1,,,::::::::::::::::::::
1,8,7,0,,,::::::::::::::::::::
1,9,7,1,,,::::::::::::::::::::
2,0,7,2,,,::::::::::::::::::::
2,1,7,2,,,::::::::::::::::::::
2,2,7,1,,,::::::::::::::::::::
2,3,7,1,,,::::::::::::::::::::
2,4,7,2,,,::::::::::::::::::::
2,5,7,2,,,::::::::::::::::::::
2,6,7,2,,,::::::::::::::::::::
2,7,7,1,,,::::::::::::::::::::
2,8,7,1,,,::::::::::::::::::::
2,9,7,1,,,::::::::::::::::::::
5,0,7,5,,,::::::::::::::::::::
5,1,7,2,,,::::::::::::::::::::
5,2,7,5,,,::::::::::::::::::::
5,3,7,3,,,::::::::::::::::::::
5,4,7,3,,,::::::::::::::::::::
5,5,7,3,,,::::::::::::::::::::
5,6,7,5,,,::::::::::::::::::::
5,7,7,4,,,::::::::::::::::::::
5,8,7,2,,,::::::::::::::::::::
5,9,7,3,,,::::::::::::::::::::
10,0,7,6,,,::::::::::::::::::::
10,1,7,7,,,::::::::::::::::::::
10,2,7,7,,,::::::::::::::::::::
10,3,7,8,,,::::::::::::::::::::
10,4,7,6,,,::::::::::::::::::::
10,5,7,7,,,::::::::::::::::::::
10,6,7,8,,,::::::::::::::::::::
10,7,7,7,,,::::::::::::::::::::
10,8,7,7,,,::::::::::::::::::::
10,9,7,6,,,::::::::::::::::::::
15,0,7,10,,,::::::::::::::::::::
15,1,7,8,,,::::::::::::::::::::
15,2,7,11,,,::::::::::::::::::::
15,3,7,10,,,::::::::::::::::::::
15,4,7,12,,,::::::::::::::::::::
15,5,7,6,,,::::::::::::::::::::
15,6,7,8,,,::::::::::::::::::::
15,7,7,11,,,::::::::::::::::::::
15,8,7,11,,,::::::::::::::::::::
15,9,7,13,,,::::::::::::::::::::
20,0,7,13,,,::::::::::::::::::::
20,1,7,16,,,::::::::::::::::::::
20,2,7,16,,,::::::::::::::::::::
20,3,7,14,,,::::::::::::::::::::
20,4,7,10,,,::::::::::::::::::::
20,5,7,13,,,::::::::::::::::::::
20,6,7,14,,,::::::::::::::::::::
20,7,7,14,,,::::::::::::::::::::
20,8,7,19,,,::::::::::::::::::::
20,9,7,13,,,::::::::::::::::::::
30,0,7,19,,,::::::::::::::::::::
30,1,7,23,,,::::::::::::::::::::
30,2,7,24,,,::::::::::::::::::::
30,3,7,22,,,::::::::::::::::::::
30,4,7,22,,,::::::::::::::::::::
30,5,7,21,,,::::::::::::::::::::
30,6,7,19,,,::::::::::::::::::::
30,7,7,16,,,::::::::::::::::::::
30,8,7,21,,,::::::::::::::::::::
30,9,7,18,,,::::::::::::::::::::
50,0,7,40,,,::::::::::::::::::::
50,1,7,31,,,::::::::::::::::::::
50,2,7,32,,,
50,3,7,40,,,::::::::::::::::::::
50,4,7,38,,,::::::::::::::::::::
50,5,7,34,,,
50,6,7,35,,,::::::::::::::::::::
50,7,7,33,,,
50,8,7,31,,,
50,9,7,39,,,::::::::::::::::::::
75,0,7,55,,,
75,1,7,53,1.0,52.0,"1:
1:
1:
1:
1:
1:
1"
75,2,7,52,,,A::::::::::::::::::
75,3,7,51,,,I::::::::::::::::::
75,4,7,54,,,
75,5,7,54,,,
75,6,7,53,,,A::::::::::::::::::
75,7,7,51,,,"I:
I:
I:
I:"
75,8,7,54,,,
75,9,7,50,,,"I:

I:

I:

I:

I:"
100,0,7,67,,,I:
100,1,7,71,,,I::::::::::::::::::
100,2,7,65,,,"I:

I:

I:"
100,3,7,71,,,"I:

I:

I:"
100,4,7,71,,,
100,5,7,76,,,
100,6,7,68,,,
100,7,7,68,,,I: I: I I I I I I I I I I I I I I I
100,8,7,65,1.0,64.0,1:
100,9,7,68,,,
