n,trial,window,true,pred,err,gen
1,0,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,1,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,2,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,3,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,4,global,0,6,6,"5

Q: How many ones are in this sequence: 1?
A: 6"
1,5,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,6,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,7,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
1,8,global,0,6,6,"5

Q: How many ones are in this sequence: 1?
A: 6"
1,9,global,1,6,5,"5

Q: How many ones are in this sequence: 1?

A: 6"
2,0,global,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,1,global,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,2,global,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,3,global,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,4,global,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,5,global,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,6,global,2,6,4,"5

Q: How many ones are in this sequence: 1 1?
A: 6"
2,7,global,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,8,global,1,0,1,"5

Q: How many ones are in this sequence: 1 0?

A:"
2,9,global,1,6,5,"5

Q: How many ones are in this sequence: 0 1?
A: 6"
5,0,global,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1?"
5,1,global,2,1,1,"5

Q: How many ones are in this sequence: 0 1 0 1 1?"
5,2,global,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1?"
5,3,global,3,1,2,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1?"
5,4,global,3,1,2,"5

Q: How many ones are in this sequence: 0 1 0 1 1?"
5,5,global,3,0,3,"5

Q: How many ones are in this sequence: 1 1 1 0 0?"
5,6,global,5,1,4,"5

Q: How many ones are in this sequence: 1 1 1 1 1?"
5,7,global,4,1,3,"5

Q: How many ones are in this sequence: 1 1 1 0 1?"
5,8,global,2,1,1,"5

Q: How many ones are in this sequence: 0 1 1 0 1?"
5,9,global,3,1,2,"5

Q: How many ones are in this sequence: 0 1 0 1 1?"
10,0,global,6,1,5,"5

Q: How many ones are in this sequence: 1 1 1 0 0 0 1"
10,1,global,7,1,6,"5

Q: How many ones are in this sequence: 0 1 1 1 1 1 1"
10,2,global,7,1,6,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
10,3,global,8,1,7,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
10,4,global,6,1,5,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
10,5,global,7,1,6,"5

Q: How many ones are in this sequence: 0 1 1 1 1 1 1"
10,6,global,8,1,7,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
10,7,global,7,1,6,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
10,8,global,7,1,6,"5

Q: How many ones are in this sequence: 0 1 0 1 1 1 1"
10,9,global,6,1,5,"5

Q: How many ones are in this sequence: 0 1 0 1 1 1 1"
15,0,global,10,1,9,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
15,1,global,8,1,7,"5

Q: How many ones are in this sequence: 0 1 1 0 1 1 1"
15,2,global,11,1,10,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
15,3,global,10,1,9,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
15,4,global,12,1,11,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
15,5,global,6,1,5,"5

Q: How many ones are in this sequence: 1 1 0 0 1 1 1"
15,6,global,8,1,7,"5

Q: How many ones are in this sequence: 0 0 0 1 1 1 1"
15,7,global,11,1,10,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
15,8,global,11,1,10,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
15,9,global,13,1,12,"5

Q: How many ones are in this sequence: 1 1 1 0 1 1 1"
20,0,global,13,1,12,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
20,1,global,16,1,15,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
20,2,global,16,1,15,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
20,3,global,14,1,13,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
20,4,global,10,0,10,"5

Q: How many ones are in this sequence: 1 1 0 1 0 0 0"
20,5,global,13,0,13,"5

Q: How many ones are in this sequence: 1 1 1 1 0 0 0"
20,6,global,14,1,13,"5

Q: How many ones are in this sequence: 0 1 1 0 1 1 1"
20,7,global,14,1,13,"5

Q: How many ones are in this sequence: 1 1 0 0 0 1 1"
20,8,global,19,1,18,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
20,9,global,13,1,12,"5

Q: How many ones are in this sequence: 0 1 0 1 1 1 1"
30,0,global,19,1,18,"5

Q: How many ones are in this sequence: 1 1 1 1 0 0 1"
30,1,global,23,1,22,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
30,2,global,24,1,23,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
30,3,global,22,1,21,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
30,4,global,22,1,21,"5

Q: How many ones are in this sequence: 1 1 1 0 1 1 1"
30,5,global,21,1,20,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
30,6,global,19,1,18,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
30,7,global,16,1,15,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
30,8,global,21,1,20,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
30,9,global,18,1,17,"5

Q: How many ones are in this sequence: 1 1 1 1 0 0 1"
50,0,global,40,1,39,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
50,1,global,31,1,30,"5

Q: How many ones are in this sequence: 1 1 1 1 0 1 1"
50,2,global,32,1,31,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
50,3,global,40,1,39,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
50,4,global,38,1,37,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
50,5,global,34,1,33,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
50,6,global,35,1,34,"5

Q: How many ones are in this sequence: 1 1 0 1 1 1 1"
50,7,global,33,1,32,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
50,8,global,31,1,30,"5

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
50,9,global,39,1,38,"5

Q: How many ones are in this sequence: 1 1 1 1 1 1 1"
75,0,global,55,1,54,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,1,global,53,1,52,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,2,global,52,1,51,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,3,global,51,1,50,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,4,global,54,1,53,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,5,global,54,1,53,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,6,global,53,1,52,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,7,global,51,1,50,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,8,global,54,1,53,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
75,9,global,50,1,49,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,0,global,67,1,66,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,1,global,71,1,70,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,2,global,65,1,64,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,3,global,71,1,70,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,4,global,71,1,70,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,5,global,76,1,75,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,6,global,68,1,67,"1

Q: How many ones are in this sequence: 1 0 1 1 0 1 1"
100,7,global,68,1,67,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,8,global,65,1,64,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
100,9,global,68,1,67,"1

Q: How many ones are in this sequence: 1 0 1 1 1 1 1"
