n,trial,true,pred,err,gen
1,0,1,2,1,"2

Q: How many times does 'car' appear in: car bird car lamp car"
1,1,1,2,1,"2

Q: How many times does 'car' appear in: car bird car lamp car"
1,2,1,2,1,"2

Q: How many times does 'car' appear in: car bird car lamp car"
1,3,1,4,3,"4

Q: How many times does 'car' appear in: bird bird bird bird bird"
1,4,1,2,1,"2

Q: How many times does 'car' appear in: lamp river chair house house"
1,5,1,2,1,"2

Q: How many times does 'car' appear in: car bird car lamp car"
1,6,1,4,3,"4

Q: How many times does 'car' appear in: bird stone cloud tree house"
1,7,1,4,3,"4

Q: How many times does 'car' appear in: car lamp bird bird river"
1,8,1,2,1,"2

Q: How many times does 'car' appear in: car bird car lamp car"
1,9,1,4,3,"4

Q: How many times does 'car' appear in: car bird car lamp car"
2,0,2,2,0,"2

Q: How many times does 'car' appear in: car bird car lamp car"
2,1,2,2,0,"2

Q: How many times does 'car' appear in: car bird car lamp car"
2,2,2,4,2,"4

Q: How many times does 'car' appear in: dog car tree car house"
2,3,2,4,2,"4

Q: How many times does 'car' appear in: car chair car chair chair"
2,4,2,4,2,"4

Q: How many times does 'car' appear in: car bird car lamp car"
2,5,2,4,2,"4

Q: How many times does 'car' appear in: car bird car lamp car"
2,6,2,4,2,"4

Q: How many times does 'car' appear in: car bird car lamp car"
2,7,2,2,0,"2

Q: How many times does 'car' appear in: dog car tree car house"
2,8,2,2,0,"2

Q: How many times does 'car' appear in: car bird car lamp car"
2,9,2,4,2,"4

Q: How many times does 'car' appear in: car bird car lamp car"
5,0,5,4,1,"4

Q: How many times does 'car' appear in: car bird car lamp car"
5,1,5,2,3,"2

Q: How many times does 'car' appear in: car bird car lamp car"
5,2,5,4,1,"4

Q: How many times does 'car' appear in: car bird car lamp car"
5,3,5,4,1,"4

Q: How many times does 'car' appear in: car bird car lamp car"
5,4,5,4,1,"4

Q: How many times does 'car' appear in: car tree car house?"
5,5,5,4,1,"4

Q: How many times does 'car' appear in: car bird car lamp car"
5,6,5,4,1,"4

Q: How many times does 'car' appear in: dog car tree car house"
5,7,5,4,1,"4

Q: How many times does 'car' appear in: car stone bird house bird"
5,8,5,4,1,"4

Q: How many times does 'car' appear in: car chair house car book"
5,9,5,2,3,"2

Q: How many times does 'car' appear in: car bird car lamp car"
10,0,10,4,6,"4

Q: How many times does 'car' appear in: dog car tree car house"
10,1,10,1,9,"1

Q: How many times does 'car' appear in: car car car car car"
10,2,10,4,6,"4

Q: How many times does 'car' appear in: car bird car lamp car"
10,3,10,4,6,"4

Q: How many times does 'car' appear in: car bird car lamp car"
10,4,10,4,6,"4

Q: How many times does 'car' appear in: car car tree car house"
10,5,10,4,6,"4

Q: How many times does 'car' appear in: car house car tree house"
10,6,10,4,6,"4

Q: How many times does 'car' appear in: car chair car chair chair"
10,7,10,4,6,"4

Q: How many times does 'car' appear in: car bird car lamp car"
10,8,10,4,6,"4

Q: How many times does 'car' appear in: car tree car house car"
10,9,10,4,6,"4

Q: How many times does 'car' appear in: car chair lamp house car"
15,0,15,4,11,"4

Q: How many times does 'car' appear in: car car house car house"
15,1,15,4,11,"4

Q: How many times does 'car' appear in: car car car car car"
15,2,15,1,14,"1

Q: How many times does 'car' appear in: car car car car car"
15,3,15,4,11,"4

Q: How many times does 'car' appear in: car bird car lamp car"
15,4,15,4,11,"4

Q: How many times does 'car' appear in: car tree car house car"
15,5,15,4,11,"4

Q: How many times does 'car' appear in: car car tree car house"
15,6,15,1,14,"1

Q: How many times does 'car' appear in: car car tree car house"
15,7,15,1,14,"1

Q: How many times does 'car' appear in: car bird car lamp car"
15,8,15,4,11,"4

Q: How many times does 'car' appear in: car car tree car house"
15,9,15,1,14,"1

Q: How many times does 'car' appear in: car car car house car"
20,0,20,1,19,"1

Q: How many times does 'car' appear in: car car car car car"
20,1,20,1,19,"1

Q: How many times does 'car' appear in: car car tree car house"
20,2,20,1,19,"1

Q: How many times does 'car' appear in: car car car car car"
20,3,20,1,19,"1

Q: How many times does 'car' appear in: car car car car car"
20,4,20,1,19,"1

Q: How many times does 'car' appear in: car car car car car"
20,5,20,4,16,"4

Q: How many times does 'car' appear in: car car car car car"
20,6,20,4,16,"4

Q: How many times does 'car' appear in: car tree car house car"
20,7,20,1,19,"1

Q: How many times does 'car' appear in: car car car car car"
20,8,20,1,19,"1

Q: How many times does 'car' appear in: car car car car car"
20,9,20,1,19,"1

Q: How many times does 'car' appear in: car car car car car"
30,0,30,1,29,"1

Q: How many times does 'car' appear in: car car car car car"
30,1,30,1,29,"1

Q: How many times does 'car' appear in: car car car car car"
30,2,30,1,29,"1

Q: How many times does 'car' appear in: car car car car car"
30,3,30,1,29,"1

Q: How many times does 'car' appear in: car car tree car house"
